laanwj,2020-07-09 15:52:24,ACK a4a3fc4cd2e6f53cdffcc2962fd152a4e40c7413,https://github.com/bitcoin/bitcoin/pull/19258#issuecomment-656207228,656207228,
MarcoFalke,2020-06-12 11:08:03,I wish `-f` was called `--fetch` instead,https://github.com/bitcoin/bitcoin/pull/19258#discussion_r439355877,439355877,test/lint/README.md
Sjors,2020-06-12 11:32:04,Changed.,https://github.com/bitcoin/bitcoin/pull/19258#discussion_r439365514,439365514,test/lint/README.md
MarcoFalke,2020-06-12 11:53:41,"Oh, I didn't know `--fetch` existed. `git help remote` doesn't mention it, but it seems to work, so :man_shrugging: ",https://github.com/bitcoin/bitcoin/pull/19258#discussion_r439374039,439374039,test/lint/README.md
Sjors,2020-06-12 12:29:50,It does does show up when you do `git remote add`,https://github.com/bitcoin/bitcoin/pull/19258#discussion_r439388943,439388943,test/lint/README.md
