luke-jr,2020-12-14 18:34:15,"NACK, this breaks normal use, and you can already do what you need with gitian's `--url` option",https://github.com/bitcoin/bitcoin/pull/20630#issuecomment-744629563,744629563,
DrahtBot,2020-12-14 19:12:44,<!--4a62be1de6b64f3ed646cdc7932c8cf5-->\n🕵️ @achow101 @sipa have been requested to review this pull request as specified in the REVIEWERS file.,https://github.com/bitcoin/bitcoin/pull/20630#issuecomment-744649868,744649868,
DrahtBot,2021-01-08 01:02:16,"<!--e57a25ab6845829454e8d69fc972939a-->\n\nThe following sections might be updated with supplementary metadata relevant to reviewers and maintainers.\n\n<!--174a7506f384e20aa4161008e828411d-->\n### Conflicts\nReviewers, this pull request conflicts with the following ones:\n\n* #20880 (gitian: Use custom MacOS code signing tool by achow101)\n\nIf you consider this pull request important, please als",https://github.com/bitcoin/bitcoin/pull/20630#issuecomment-756480911,756480911,
DrahtBot,2021-01-18 21:14:34,"<!--cf906140f33d8803c4a75a2196329ecb-->\n🐙 This pull request conflicts with the target branch and [needs rebase](https://github.com/bitcoin/bitcoin/blob/master/CONTRIBUTING.md#rebasing-changes).\n\n<sub>Want to unsubscribe from rebase notifications on this pull request? Just convert this pull request to a ""draft"".</sub>",https://github.com/bitcoin/bitcoin/pull/20630#issuecomment-762473117,762473117,
