practicalswift,2020-12-16 14:37:54,Concept ACK: more readable and thus easier to reason about :),https://github.com/bitcoin/bitcoin/pull/20673#issuecomment-746392949,746392949,
DrahtBot,2020-12-16 16:52:46,"<!--e57a25ab6845829454e8d69fc972939a-->\n\nThe following sections might be updated with supplementary metadata relevant to reviewers and maintainers.\n\n<!--174a7506f384e20aa4161008e828411d-->\n### Conflicts\nReviewers, this pull request conflicts with the following ones:\n\n* #20642 (depends: Drop unneeded patches for qt package by hebasto)\n* #20641 (depends: Use Qt top-level build facilities by",https://github.com/bitcoin/bitcoin/pull/20673#issuecomment-746623533,746623533,
DrahtBot,2020-12-19 11:26:27,<!--a722867cd34abeea1fadc8d60700f111-->\n### Gitian builds\n\n| File | commit 816314ef0f7bdf50a6596ef893ac1a1d2d8723bf<br>(master) | commit 4f2a2143412f1e5944f543dbe9a35fb63d7e0179<br>(master and this pull) |\n|--|--|--|\n| *-aarch64-linux-gnu-debug.tar.gz | [`92c094a57f28b2fe...`](https://drahtbot.space/gitian/bitcoin/bitcoin/816314ef0f7bdf50a6596ef893ac1a1d2d8723bf/bitcoin-816314ef0f7b-aarch64-l,https://github.com/bitcoin/bitcoin/pull/20673#issuecomment-748460978,748460978,
DrahtBot,2020-12-21 09:07:07,<!--9cd9c72976c961c55c7acef8f6ba82cd-->\n### Guix builds\n\n| File | commit f1dbf92ff0475a01d20170ea422c1d086acbbc57<br>(master) | commit f7d771d034e012a683cbaf9518c3ac362a066d34<br>(master and this pull) |\n|--|--|--|\n| *-aarch64-linux-gnu-debug.tar.gz | [`3515438da57735d7...`](https://drahtbot.space/guix/bitcoin/bitcoin/f1dbf92ff0475a01d20170ea422c1d086acbbc57/bitcoin-f1dbf92ff047-aarch64-linux,https://github.com/bitcoin/bitcoin/pull/20673#issuecomment-748860821,748860821,
