luke-jr,2014-09-02T22:26:59Z,Sounds like a compiler bug. I'm surprised Bitcoin Core builds in MSVC at all.\n,https://github.com/bitcoin/bitcoin/pull/4824#issuecomment-54227382,54227382,
BitcoinPullTester,2014-09-12T17:25:47Z,"Automatic sanity-testing: FAILED BUILD/TEST, see http://jenkins.bluematt.me/pull-tester/p4824_e283a31376a68e95dc5fbe88b114cacb09d46ffd/ for binaries and test log.\n\nThis could happen for one of several reasons:\n1. It chanages paths in makefile.linux-mingw or otherwise changes build scripts in a way that made them incompatible with the automated testing scripts (please tweak those patches in qa/p",https://github.com/bitcoin/bitcoin/pull/4824#issuecomment-55434837,55434837,
sipa,2014-09-12T17:33:56Z,"Seems pulltester's gcc genuinely can't deal with this code. I believe we'll drop the requirement of the ancient environment it runs on at some point in the future, but as long as it's there, we can't just break it.\n",https://github.com/bitcoin/bitcoin/pull/4824#issuecomment-55435723,55435723,
theuni,2014-09-12T17:42:20Z,Isn't this a c++11 feature anyway?\n,https://github.com/bitcoin/bitcoin/pull/4824#issuecomment-55436731,55436731,
ENikS,2014-09-12T18:52:17Z,"Yes, it is  C++11. \nAs far as I knew just about every compiler implements it, even these who do not support full  C++11 spec (msvc for example). I guess only actively maintained do.\nIt could be cast to unsigned during the comparison to eliminate the warning but it would be less elegant solution IMHO. Up to you...\n",https://github.com/bitcoin/bitcoin/pull/4824#issuecomment-55445227,55445227,
sipa,2014-09-16T02:40:52Z,"Pulltester uses GCC 4.4 iirc, so it's missing many c++11 features. We'll likely drop pulltester soon, though.\n",https://github.com/bitcoin/bitcoin/pull/4824#issuecomment-55688011,55688011,
ENikS,2014-09-16T05:07:54Z,I guess it can wait\n,https://github.com/bitcoin/bitcoin/pull/4824#issuecomment-55696396,55696396,
laanwj,2014-09-25T08:49:48Z,Another one waiting for #4907.\n,https://github.com/bitcoin/bitcoin/pull/4824#issuecomment-56790760,56790760,
laanwj,2014-10-02T06:57:00Z,Needs rebase; this structure is now in `src/chain.h`. Apart from that it can be merged now.\n,https://github.com/bitcoin/bitcoin/pull/4824#issuecomment-57591090,57591090,
ENikS,2014-10-06T17:34:47Z,@laanwj It still fails on one of the platforms. \n,https://github.com/bitcoin/bitcoin/pull/4824#issuecomment-58055522,58055522,
laanwj,2014-10-06T17:38:02Z,"Looks like clang, which is used on macosx, has difficulties with this.\n",https://github.com/bitcoin/bitcoin/pull/4824#issuecomment-58056098,58056098,
laanwj,2014-10-31T15:26:27Z,Closing this for now. Can be reopened when the consensus on using (subsets of) c++11 changes.\n,https://github.com/bitcoin/bitcoin/pull/4824#issuecomment-61277119,61277119,
