practicalswift,2019-01-05T16:22:51Z,@mmachicao Nice first-time contribution! Can you measure the coverage before and after your patch?,https://github.com/bitcoin/bitcoin/pull/15104#issuecomment-451668693,451668693,
DrahtBot,2019-01-05T19:12:20Z,"<!--e57a25ab6845829454e8d69fc972939a-->\n\nThe following sections might be updated with supplementary metadata relevant to reviewers and maintainers.\n\n<!--174a7506f384e20aa4161008e828411d-->\n### Conflicts\nReviewers, this pull request conflicts with the following ones:\n\n* [#15788](https://drahtbot.github.io/bitcoin_core_issue_redirect/r/15788.html) (test: Unify testing setups for fuzz, bench,",https://github.com/bitcoin/bitcoin/pull/15104#issuecomment-451682690,451682690,
laanwj,2019-01-09T14:05:59Z,"Thanks for adding tests!\n\nDrahtBot's coverage statistics show a *decrease* in coverage? I don't see how this is possible @MarcoFalke ",https://github.com/bitcoin/bitcoin/pull/15104#issuecomment-452707635,452707635,
laanwj,2019-01-24T14:06:52Z,Feel free to take over this branch where I've cleaned up the changes to header ordering: https://github.com/laanwj/bitcoin/tree/2019_01_24_upd15104,https://github.com/bitcoin/bitcoin/pull/15104#issuecomment-457208398,457208398,
DrahtBot,2019-04-16T17:15:18Z,<!--cf906140f33d8803c4a75a2196329ecb-->Needs rebase,https://github.com/bitcoin/bitcoin/pull/15104#issuecomment-483764476,483764476,
MarcoFalke,2019-01-14T16:54:10Z,"third-party libraries are separated by a new line (like it was before), so please don't change that.",https://github.com/bitcoin/bitcoin/pull/15104#discussion_r247571909,247571909,src/test/compress_tests.cpp
laanwj,2019-01-16T17:06:55Z,"Yes, please keep the order of includes the same and only add new ones where necessary.",https://github.com/bitcoin/bitcoin/pull/15104#discussion_r248369933,248369933,src/test/compress_tests.cpp
