jonasschnelli,2020-04-14 13:45:38,"Thanks.\nACK fa50d11dd117eb6f91cbeac7476797f3885a6169",https://github.com/bitcoin/bitcoin/pull/18631#issuecomment-613452081,613452081,
MarcoFalke,2020-04-14 21:38:24,"Going to merge this now. We can enable them again as soon as they are stable. Alternatively, one could implement them in the `.cirrus.yml` to see if the issue is appveyor related.",https://github.com/bitcoin/bitcoin/pull/18631#issuecomment-613694624,613694624,
MarcoFalke,2020-04-14 21:57:47,"Oh, even Travis supports Windows these days, so one might want to try that?",https://github.com/bitcoin/bitcoin/pull/18631#issuecomment-613701852,613701852,
