jgarzik,2013-09-18T21:20:33Z,untested ACK\n,https://github.com/bitcoin/bitcoin/pull/3015#issuecomment-24700489,24700489,
theuni,2013-09-18T21:43:45Z,"Fixed cosmetics and added a change to fail if windres isn't found for win32 build, since it's needed for bitcoind.exe now.\n",https://github.com/bitcoin/bitcoin/pull/3015#issuecomment-24702020,24702020,
Diapolo,2013-09-18T21:47:58Z,"Untested ACK, but I prefer if you could fix my nits ;).\n",https://github.com/bitcoin/bitcoin/pull/3015#issuecomment-24702267,24702267,
theuni,2013-09-18T22:09:38Z,"Nits fixed, last time I hope :)\n\nUploaded here if you'd like to verify, I have no win32 machine: http://coryfields.com/bitcoind-versioninfo.exe\n",https://github.com/bitcoin/bitcoin/pull/3015#issuecomment-24703612,24703612,
Diapolo,2013-09-19T07:51:42Z,"ACK to the Win32 version info change.\n@theuni I verified the executable, looks great, thanks.\n\n![bitcoind](https://f.cloud.github.com/assets/1419649/1171245/4cea8402-2100-11e3-8d56-87c6ef190f4d.png)\n",https://github.com/bitcoin/bitcoin/pull/3015#issuecomment-24722392,24722392,
BitcoinPullTester,2013-09-20T06:07:27Z,"Automatic sanity-testing: PASSED, see http://jenkins.bluematt.me/pull-tester/5ceb9c963700d4639fb3210b98aa028113e2a9c4 for binaries and test log.\nThis test script verifies pulls every time they are updated. It, however, dies sometimes and fails to test properly.  If you are waiting on a test, please check timestamps to verify that the test.log is moving at http://jenkins.bluematt.me/pull-tester/cu",https://github.com/bitcoin/bitcoin/pull/3015#issuecomment-24791738,24791738,
laanwj,2013-09-20T06:30:18Z,ACK\n,https://github.com/bitcoin/bitcoin/pull/3015#issuecomment-24792227,24792227,
Diapolo,2013-09-20T08:55:50Z,ACK\n,https://github.com/bitcoin/bitcoin/pull/3015#issuecomment-24797443,24797443,
Diapolo,2013-09-18T21:46:33Z,Indentation still :)\n,https://github.com/bitcoin/bitcoin/pull/3015#discussion_r6448067,6448067,src/bitcoin-res.rc
Diapolo,2013-09-18T21:47:00Z,"Bitcoind here, Bitcoin-Qt for Qt AFAIK.\n",https://github.com/bitcoin/bitcoin/pull/3015#discussion_r6448081,6448081,src/bitcoin-res.rc
