jonasschnelli,2017-06-01T08:59:01Z,Tested ACK ac9df130a507177ec77ef3f5f4fa43c0c5ef57c3,https://github.com/bitcoin/bitcoin/pull/10495#issuecomment-305433305,305433305,
paveljanik,2017-06-01T09:43:14Z,"IIRC on some systems, gunzip symlink was not available in the default install.",https://github.com/bitcoin/bitcoin/pull/10495#issuecomment-305443985,305443985,
laanwj,2017-06-01T09:51:31Z,"> IIRC on some systems, gunzip symlink was not available in the default install.\n\nI tried on FreeBSD, OpenBSD, Linux (Ubuntu) and `gunzip` worked out of the box at least... Also these are not general instructions for end-users, but for ourselves. I personally find `gunzip` much easier to remember. But meh I'm fine with changing it.\n",https://github.com/bitcoin/bitcoin/pull/10495#issuecomment-305445937,305445937,
fanquake,2017-06-01T10:46:44Z,utACK https://github.com/bitcoin/bitcoin/pull/10495/commits/ac9cd953d91e2448d24851b2f4973c7be8f4c3cd,https://github.com/bitcoin/bitcoin/pull/10495#issuecomment-305458091,305458091,
practicalswift,2017-06-01T10:49:25Z,ACK ac9cd95,https://github.com/bitcoin/bitcoin/pull/10495#issuecomment-305458656,305458656,
practicalswift,2017-06-01T09:21:04Z,Nit: Isn't `| gzip -dc` preferred over `| gunzip`?,https://github.com/bitcoin/bitcoin/pull/10495#discussion_r119566291,119566291,contrib/seeds/README.md
laanwj,2017-06-01T09:27:03Z,For what reason?,https://github.com/bitcoin/bitcoin/pull/10495#discussion_r119567675,119567675,contrib/seeds/README.md
practicalswift,2017-06-01T09:40:07Z,"@laanwj Good question! :-)  Perhaps it is a legacy thing, but for some reason I have it hard wired that `gzip -dc` is used when operating on stdin/stdout and `gunzip` is for unpacking `file.gz`, removing the original file and leaving `file`. They might be totally equivalent nowadays. If so, ignore my minor nit :-)",https://github.com/bitcoin/bitcoin/pull/10495#discussion_r119570398,119570398,contrib/seeds/README.md
practicalswift,2017-06-01T09:44:23Z,Found this thread: https://lists.gnu.org/archive/html/bug-automake/2009-10/msg00012.html,https://github.com/bitcoin/bitcoin/pull/10495#discussion_r119571285,119571285,contrib/seeds/README.md
