fanquake,2020-10-29 20:46:42,Our minimum required Boost is currently 1.58.0. See configure.ac.,https://github.com/bitcoin/bitcoin/pull/20265#issuecomment-719011745,719011745,
mjdietzx,2020-10-29 20:49:57,Closing re: min required Boost is currently 1.58.0.,https://github.com/bitcoin/bitcoin/pull/20265#issuecomment-719013355,719013355,
mjdietzx,2020-12-01 19:55:22,"Note, when https://github.com/bitcoin/bitcoin/issues/20460 closes we should be able to re-open this PR",https://github.com/bitcoin/bitcoin/pull/20265#issuecomment-736782110,736782110,
