BitcoinPullTester,2012-09-06T22:07:47Z,"Automatic sanity-testing: PASSED, see http://jenkins.bluematt.me/pull-tester/65786afb0571eb197526f8ada8c8372fbc09b451 for binaries and test log.\n",https://github.com/bitcoin/bitcoin/pull/1794#issuecomment-8349406,8349406,
laanwj,2012-09-08T16:19:21Z,ACK\n,https://github.com/bitcoin/bitcoin/pull/1794#issuecomment-8389902,8389902,
laanwj,2012-09-07T06:33:40Z,"Won't the previous value of fValid, coming from either before the loop or the previous iteration, which is not yet BOOST_CHECKED (as far as I can se in this context), get overwritten here?\n",https://github.com/bitcoin/bitcoin/pull/1794#discussion_r1552312,1552312,src/test/transaction_tests.cpp
TheBlueMatt,2012-09-07T17:32:28Z,"fValid is always either true, or this loop breaks (condition for the for loop includes fValid) and goes directly to the boost check.\n",https://github.com/bitcoin/bitcoin/pull/1794#discussion_r1556843,1556843,src/test/transaction_tests.cpp
laanwj,2012-09-07T18:03:12Z,"OK, clear\n",https://github.com/bitcoin/bitcoin/pull/1794#discussion_r1557141,1557141,src/test/transaction_tests.cpp
