laanwj,2014-08-04T14:52:51Z,Nice!\n\nAnother suggestion: align the ping times column to the right.\n,https://github.com/bitcoin/bitcoin/pull/4629#issuecomment-51070368,51070368,
Diapolo,2014-08-04T17:12:05Z,"@laanwj Yeah good suggestion, will integrate this :).\n",https://github.com/bitcoin/bitcoin/pull/4629#issuecomment-51088471,51088471,
Diapolo,2014-08-04T17:24:47Z,"@laanwj Please re-check, looks good now.\n",https://github.com/bitcoin/bitcoin/pull/4629#issuecomment-51089962,51089962,
BitcoinPullTester,2014-08-04T17:37:28Z,"Automatic sanity-testing: PASSED, see http://jenkins.bluematt.me/pull-tester/p4629_ead6737b87ee238aa0c7f81f9186c62f15ab8d67/ for binaries and test log.\nThis test script verifies pulls every time they are updated. It, however, dies sometimes and fails to test properly.  If you are waiting on a test, please check timestamps to verify that the test.log is moving at http://jenkins.bluematt.me/pull-te",https://github.com/bitcoin/bitcoin/pull/4629#issuecomment-51091546,51091546,
Diapolo,2014-08-06T09:19:47Z,@laanwj ping\n,https://github.com/bitcoin/bitcoin/pull/4629#issuecomment-51311477,51311477,
