MarcoFalke,2020-04-17 17:19:10,Please suggest the change in the  open asmap pr,https://github.com/bitcoin/bitcoin/pull/18686#issuecomment-615366478,615366478,
hebasto,2020-04-17 17:21:47,"> Please suggest the change in the open asmap pr\n\nDone: https://github.com/bitcoin/bitcoin/pull/18512#issuecomment-615369421",https://github.com/bitcoin/bitcoin/pull/18686#issuecomment-615367664,615367664,
hebasto,2020-05-11 04:32:06,The issue is fixed by eac6a3080d38cfd4eb7204ecd327df213958e51a.,https://github.com/bitcoin/bitcoin/pull/18686#issuecomment-626463490,626463490,
