MarcoFalke,2020-08-04 10:54:20,Suggested by @jnewbery  here: https://github.com/bitcoin/bitcoin/pull/19489/files#r464387191,https://github.com/bitcoin/bitcoin/pull/19657#issuecomment-668526839,668526839,
jnewbery,2020-08-06 13:27:57,"Code review ACK fa4dfd215f62e88d668311701735c332c264fa2a\n\nWe should consider removing `CNodeNoVersionMisbehavior` either here or in a follow-up.",https://github.com/bitcoin/bitcoin/pull/19657#issuecomment-669926458,669926458,
jnewbery,2020-08-06 12:58:58,Any reason not to remove this class entirely?,https://github.com/bitcoin/bitcoin/pull/19657#discussion_r466392787,466392787,test/functional/p2p_leak.py
