fanquake,2018-07-19T01:51:15Z,@practicalswift Is this for a specific bug/issue you've seen previously?,https://github.com/bitcoin/bitcoin/pull/13705#issuecomment-406128785,406128785,
practicalswift,2018-07-19T13:47:36Z,"@fanquake In the past there has been at least one incident where a mistake in the log message formatting resulted in a near DoS vulnerability. It was an under-tested error path in the network code with an invalid `LogPrintf()` spec. @laanwj has more details.\n\n@laanwj suggested writing a format string linter in https://github.com/bitcoin/bitcoin/issues/9423#issuecomment-269943837.",https://github.com/bitcoin/bitcoin/pull/13705#issuecomment-406282044,406282044,
laanwj,2018-07-25T13:45:33Z,"Yes, I think this is very useful! we've had some issues with this in the past.\nBetter to find these issues before they cause runtime problems.\n\nThank for writing it in Python instead of making a long shell mess, this means I can usefully review it.",https://github.com/bitcoin/bitcoin/pull/13705#issuecomment-407759195,407759195,
laanwj,2018-08-07T12:03:59Z,Needs rebase for some reason,https://github.com/bitcoin/bitcoin/pull/13705#issuecomment-411032740,411032740,
practicalswift,2018-08-07T12:07:38Z,@laanwj Weird! Now rebased!,https://github.com/bitcoin/bitcoin/pull/13705#issuecomment-411033638,411033638,
laanwj,2018-08-07T12:36:21Z,"Thanks, new error:\n\n> src/wallet/wallet.h: Expected 1 argument(s) after format string but found 2 argument(s): LogPrintf((""%s "" + fmt).c_str(), GetDisplayName(), parameters...)\n",https://github.com/bitcoin/bitcoin/pull/13705#issuecomment-411040836,411040836,
practicalswift,2018-08-07T12:58:55Z,"@laanwj Oh, a good chance to add linting also of `WalletLogPrintf` format strings. Fixed. Please re-review :-)",https://github.com/bitcoin/bitcoin/pull/13705#issuecomment-411046935,411046935,
laanwj,2018-08-07T13:27:40Z,ACK bcd4b0f5cdde2a1b562a612c78ec1ef1fe47d3dd,https://github.com/bitcoin/bitcoin/pull/13705#issuecomment-411055465,411055465,
ken2812221,2018-08-10T10:39:20Z,This won't allow have template inside: https://travis-ci.org/bitcoin/bitcoin/jobs/414449333,https://github.com/bitcoin/bitcoin/pull/13705#issuecomment-412046126,412046126,
practicalswift,2018-08-10T11:15:01Z,"@ken2812221 Oh, interesting! I’ll fix that. Thanks for reporting. In the meantime you can just add an exception (`FALSE_POSITIVES`) in the script to get around it.",https://github.com/bitcoin/bitcoin/pull/13705#issuecomment-412053144,412053144,
