practicalswift,2020-08-14 15:13:36,ACK 6cb8771173d835bdeb89c76b1d53191d3c896968 -- patch looks correct,https://github.com/bitcoin/bitcoin/pull/19718#issuecomment-674122828,674122828,
MarcoFalke,2020-08-15 07:46:57,"Is there an alternative to doing a mix of enumerate-all-folders, but then wildcard on the file name? Maybe a recursive wildcard or some kind of rule to delete only cov files that could have been generated while compiling the target?",https://github.com/bitcoin/bitcoin/pull/19718#issuecomment-674363938,674363938,
MarcoFalke,2020-08-15 07:48:09,"Similar to `$(BITCOIN_TESTS:=.log)`. Not sure if this is possible, though",https://github.com/bitcoin/bitcoin/pull/19718#issuecomment-674364053,674364053,
