practicalswift,2018-03-01T07:18:28Z,utACK ac48861815832e924bc355553f677f54ace984c5,https://github.com/bitcoin/bitcoin/pull/12570#issuecomment-369499544,369499544,
laanwj,2018-03-01T10:08:54Z,"utACK https://github.com/bitcoin/bitcoin/pull/12570/commits/ac48861815832e924bc355553f677f54ace984c5, thanks for adding tests! ",https://github.com/bitcoin/bitcoin/pull/12570#issuecomment-369542872,369542872,
promag,2018-03-01T14:01:45Z,"This is already tested above (L97-100), where `begin == end`, or am I missing something? (I prefer this over the above).",https://github.com/bitcoin/bitcoin/pull/12570#discussion_r171565948,171565948,src/test/util_tests.cpp
promag,2018-03-01T14:06:04Z,This is already tested in L155-L159.,https://github.com/bitcoin/bitcoin/pull/12570#discussion_r171567033,171567033,src/test/util_tests.cpp
promag,2018-03-01T14:06:52Z,This is already tested in L143-L146.,https://github.com/bitcoin/bitcoin/pull/12570#discussion_r171567218,171567218,src/test/util_tests.cpp
