jonasschnelli,2016-04-27T12:08:44Z,utACK 6030625631c62b0ffab2ac545c8351fa59dca483\n,https://github.com/bitcoin/bitcoin/pull/7956#issuecomment-215062494,215062494,
laanwj,2016-04-28T10:18:48Z,"I think this needs another check: that shorter keys get sorted before longer keys if they're otherwise the same. I don't think that we use variable-length keys anywhere, at least not within the same key prefix, but it's good to have the sorting be well-defined as lexicographic.\n",https://github.com/bitcoin/bitcoin/pull/7956#issuecomment-215378326,215378326,
laanwj,2016-05-03T10:48:23Z,Closing in favor of #7992\n,https://github.com/bitcoin/bitcoin/pull/7956#issuecomment-216493526,216493526,
