MarcoFalke,2017-10-02T19:24:13Z,utACK 634e38ca7,https://github.com/bitcoin/bitcoin/pull/11365#issuecomment-333638125,333638125,
kallewoof,2017-09-19T08:51:06Z,`CAmount`s are not floats; just use `1`. Since you're not using it elsewhere you may want to just do `setValue(1)` below.,https://github.com/bitcoin/bitcoin/pull/11365#discussion_r139632239,139632239,src/qt/test/wallettests.cpp
kallewoof,2017-09-19T08:53:58Z,You may wanna use `CURRENCY_UNIT` instead of hard-coded `BTC` here. It's defined in `policy/feerate.h`.,https://github.com/bitcoin/bitcoin/pull/11365#discussion_r139632889,139632889,src/qt/test/wallettests.cpp
