jonasschnelli,2018-01-04T08:19:09Z,Concept ACK,https://github.com/bitcoin/bitcoin/pull/12080#issuecomment-355223317,355223317,
gmaxwell,2018-01-08T10:54:12Z,Should we really be adding more functionality that encourages address reuse instead of doing the opposite?,https://github.com/bitcoin/bitcoin/pull/12080#issuecomment-355935496,355935496,
promag,2018-01-15T15:07:21Z,"@gmaxwell I see your point. Although, from the UI point of view, search/filter is a basic thing to have near big lists.",https://github.com/bitcoin/bitcoin/pull/12080#issuecomment-357708281,357708281,
Sjors,2018-02-09T09:40:43Z,"ACK c316fdff.\n\nSuggestion for future improvement: highlight matching characters using bold font.",https://github.com/bitcoin/bitcoin/pull/12080#issuecomment-364384388,364384388,
laanwj,2018-03-14T14:25:20Z,"@sjors Thanks for testing!\nGood to finally close #623.",https://github.com/bitcoin/bitcoin/pull/12080#issuecomment-373039367,373039367,
Sjors,2018-02-08T17:16:31Z,What was this doing originally?,https://github.com/bitcoin/bitcoin/pull/12080#discussion_r167005908,167005908,src/qt/addressbookpage.cpp
promag,2018-02-08T17:33:49Z,This behaviour is now coded in L151.,https://github.com/bitcoin/bitcoin/pull/12080#discussion_r167011085,167011085,src/qt/addressbookpage.cpp
Sjors,2018-02-08T17:47:33Z,I see. In that case I'm confused as to what `ReceivingTab` does. I only see the address book in the Send tab.,https://github.com/bitcoin/bitcoin/pull/12080#discussion_r167014862,167014862,src/qt/addressbookpage.cpp
promag,2018-02-08T18:22:44Z,"Create a request payments in ""Receive"" tab and then go ""File"" -> ""Receiving adresses..."".",https://github.com/bitcoin/bitcoin/pull/12080#discussion_r167024429,167024429,src/qt/addressbookpage.cpp
Sjors,2018-02-09T09:38:41Z,"Found it, search works there as well.",https://github.com/bitcoin/bitcoin/pull/12080#discussion_r167179380,167179380,src/qt/addressbookpage.cpp
