8009958363630f4c8347d691748337689fb212f9,2018-05-19T14:22:47Z,TheCharlatan,"build-aux/m4/bitcoin_qt.m4,depends/packages/qt.mk,depends/patches/qt/fix-cocoahelpers-macos.patch,depends/patches/qt/fix-xcb-include-order.patch,depends/patches/qt/mac-qmake.conf,depends/patches/qt/mingw-uuidof.patch,depends/patches/qt/pidlist_absolute.patch"
a45cbc63f42b1b7d4d1d75119718f3b234f81ee7,2018-05-19T14:24:37Z,ken2812221,"depends/packages/qt.mk,depends/patches/qt/fix_configure_mac.patch,depends/patches/qt/fix_no_printer.patch"
82923b3b7177d2c572312b00693f8bcd66183f12,2018-05-23T04:55:35Z,ken2812221,depends/packages/qt.mk
