c589f5f2bdc18c76d16107e557757e0d9698e6b6,2013-09-25T21:58:18Z,theuni,configure.ac
af6c2c71ed7282791f0f09fd9e5aadb948e5bbbf,2013-09-23T02:55:00Z,wtogami,"contrib/gitian-descriptors/boost-win32.yml,contrib/gitian-descriptors/deps-win32.yml,contrib/gitian-descriptors/gitian-win32.yml,contrib/gitian-descriptors/protobuf-win32.yml,contrib/gitian-descriptors/qt-win32.yml"
f2bc1d35d6900e044209e76533dc514d31f768fe,2013-09-26T08:33:25Z,wtogami,"contrib/gitian-descriptors/boost-win32.yml,contrib/gitian-descriptors/gitian-win32.yml,doc/release-process.md"
