jonasschnelli,2019-10-15 13:15:37,ACK 4441e58497513cc55cfebfdcaaeee340f62f8062,https://github.com/bitcoin/bitcoin/pull/17142#issuecomment-542205739,542205739,
fanquake,2019-10-15 13:25:46,ACK 4441e58497513cc55cfebfdcaaeee340f62f8062 - checked that `Bitcoin-Qt.dmg` is produced.,https://github.com/bitcoin/bitcoin/pull/17142#issuecomment-542210308,542210308,
fanquake,2019-10-14 22:32:27,s/`Bitcoin-QT.dmg`/`Bitcoin-Qt.dmg`/,https://github.com/bitcoin/bitcoin/pull/17142#discussion_r334687670,334687670,contrib/macdeploy/README.md
za-kk,2019-10-14 23:49:28,"Updated, thanks 👍 ",https://github.com/bitcoin/bitcoin/pull/17142#discussion_r334703754,334703754,contrib/macdeploy/README.md
laanwj,2019-10-15 06:18:03,Two `.app`s? Is this intentional?,https://github.com/bitcoin/bitcoin/pull/17142#discussion_r334767902,334767902,contrib/macdeploy/README.md
laanwj,2019-10-15 06:19:11,"I think it'd make sense to make this a list, and describe what each item is (and what the differences are)",https://github.com/bitcoin/bitcoin/pull/17142#discussion_r334768180,334768180,contrib/macdeploy/README.md
za-kk,2019-10-15 07:26:18,"The two `.app` files were intentional as both are created, one in the root folder and the other is in the `dist`.\n\nI am unsure of the differences between these two `.app` files, so any insight into this would be appreciated",https://github.com/bitcoin/bitcoin/pull/17142#discussion_r334788763,334788763,contrib/macdeploy/README.md
laanwj,2019-10-15 09:58:54,"OK—I think there's a misunderstanding about the purpose of this documentation. The idea here is not to list every intermediate that will be included in the image, but only the end product of the macdeploy (the `.dmg` image). If the purpose of the intermediate files is not clear, better to not list them.",https://github.com/bitcoin/bitcoin/pull/17142#discussion_r334858939,334858939,contrib/macdeploy/README.md
za-kk,2019-10-15 10:19:35,"Okay thanks @laanwj, I will reverse the change back to just listing the `.dmg` file as suggested and keep the filename change to match what is actually produced from `make deploy` (`Bitcoin-Qt.dmg`) ",https://github.com/bitcoin/bitcoin/pull/17142#discussion_r334868416,334868416,contrib/macdeploy/README.md
za-kk,2019-10-15 10:35:45,Done and squashed the commits 👍 ,https://github.com/bitcoin/bitcoin/pull/17142#discussion_r334875038,334875038,contrib/macdeploy/README.md
