jonasschnelli,2016-03-18T07:22:46Z,LGTM.\nping @theuni \n,https://github.com/bitcoin/bitcoin/pull/7711#issuecomment-198237208,198237208,
theuni,2016-03-18T20:33:27Z,@fanquake: Looks like this drops our libsubdirs boost patch (which I thought made it upstream). Was that intentional?\n,https://github.com/bitcoin/bitcoin/pull/7711#issuecomment-198530896,198530896,
fanquake,2016-03-19T07:24:40Z,"@theuni no, my mistake. The only patch of yours I can see being merged into Boost base was in [serial 22](http://git.savannah.gnu.org/gitweb/?p=autoconf-archive.git;a=commitdiff;h=cba04c6644ef75f6f0eb7ac67db90d2533d80f0c).\n\nThis patch hasn't yet made it upstream.\n\n```\n    dnl some arches may advertise a cpu type that doesn't line up with their\n    dnl prefix's cpu type. For example, uname ma",https://github.com/bitcoin/bitcoin/pull/7711#issuecomment-198652170,198652170,
laanwj,2016-03-23T09:48:01Z,Is this ready for merge? (e.g. all patches are included now?)\n,https://github.com/bitcoin/bitcoin/pull/7711#issuecomment-200272241,200272241,
paveljanik,2016-03-31T13:31:04Z,"Fixes #5516.\n\n`configure` output differences here (OS X: master->#7711):\n\nExpected:\n\n```\n-checking if compiler needs -Werror to reject unknown flags... yes\n-checking whether pthreads work with -pthread... yes\n+checking whether gcc is Clang... yes\n+checking whether Clang needs flag to prevent ""argument unused"" warning when linking with -pthread... -Qunused-arguments\n```\n\nUnexpected:\n\",https://github.com/bitcoin/bitcoin/pull/7711#issuecomment-203936460,203936460,
theuni,2016-04-02T07:11:52Z,"Mm, I missed this before merge.\n\n@paveljanik to clarify, are you saying that after this change, the visibility attribute isn't found? If so, that'll be quite ugly at link time. I would think it would cause a flood of ""visibility doesn't match"" warnings.\n",https://github.com/bitcoin/bitcoin/pull/7711#issuecomment-204664299,204664299,
paveljanik,2016-04-02T08:18:46Z,No such warnings here...\n,https://github.com/bitcoin/bitcoin/pull/7711#issuecomment-204671386,204671386,
paveljanik,2016-04-02T08:28:32Z,"config.log here:\n\n```\nconfigure:20859: checking for __attribute__((visibility))\nconfigure:20883: g++ -o conftest -g -O2 -Wall -Wextra -Wformat -Wformat-security -Wno-unused-parameter -Wno-self-assign  -DHAVE_BUILD_INFO -D__STDC_FORMAT_MACROS -isystem /opt/local/include -I/opt/local/include/db48 -DMAC_OSX  -Wl,-headerpad_max_install_names conftest.cpp  -L/opt/local/lib -L/opt/local/lib/db48 >&5",https://github.com/bitcoin/bitcoin/pull/7711#issuecomment-204672007,204672007,
laanwj,2016-04-02T09:02:52Z,"Must be due to this change:\n\n``` patch\n                [visibility], [\n                     int foo_def( void ) __attribute__(($1(""default"")));\n                     int foo_hid( void ) __attribute__(($1(""hidden"")));\n+                    int foo_int( void ) __attribute__(($1(""internal"")));\n+                    int foo_pro( void ) __attribute__(($1(""protected"")));\n                 ],\n```\n\",https://github.com/bitcoin/bitcoin/pull/7711#issuecomment-204676442,204676442,
