droark,2016-09-18T19:38:52Z,"I'd add a brief note explaining the protobuf 2.6 requirement. Otherwise, it looks good to me.\n",https://github.com/bitcoin/bitcoin/pull/8754#issuecomment-247868980,247868980,
laanwj,2016-09-19T13:15:03Z,"utACK https://github.com/bitcoin/bitcoin/pull/8754/commits/b16a7f609fdb2efa9a8a1b82f09748b95b5ae4f6\n\nRef: #8430\n\nFor 0.14 I'd prefer that it just builds with protobuf 3.x (as this is going to pop up everywhere), but this is a good intermediate solution. Added the needs backport tag.\n",https://github.com/bitcoin/bitcoin/pull/8754#issuecomment-247989519,247989519,
laanwj,2016-09-26T13:58:12Z,"This is backported in  #8772, removing tag\n",https://github.com/bitcoin/bitcoin/pull/8754#issuecomment-249576905,249576905,
