dcousens,2016-05-02T01:18:04Z,utACK f7c4f79\n,https://github.com/bitcoin/bitcoin/pull/7977#issuecomment-216089188,216089188,
paveljanik,2016-05-02T05:10:57Z,ACK https://github.com/bitcoin/bitcoin/commit/f7c4f79f07c777801db7dc047cd45eaf2bba81c9\n,https://github.com/bitcoin/bitcoin/pull/7977#issuecomment-216106146,216106146,
MarcoFalke,2016-05-02T11:01:49Z,utACK f7c4f79\n,https://github.com/bitcoin/bitcoin/pull/7977#issuecomment-216201240,216201240,
MarcoFalke,2016-04-30T16:17:18Z,"nit: If you do trivial fixes, please also do all other trivial fixes in the same line:\n\n``` diff\ndiff --git a/src/main.cpp b/src/main.cpp\nindex ed34137..2777245 100644\n--- a/src/main.cpp\n+++ b/src/main.cpp\n@@ -1471 +1471 @@ bool GetTransaction(const uint256 &hash, CTransaction &txOut, const Consensus::P\n-            const CCoinsViewCache &view = *pcoinsTip;\n+            const CCoinsViewCa",https://github.com/bitcoin/bitcoin/pull/7977#discussion_r61671552,61671552,src/txmempool.h
domob1812,2016-04-30T16:37:35Z,"I agree but was not aware that there is a general style preference of `uint256& hash` over `uint256 &hash`.  I personally like the former better, but did not want to reformat ""someone else's"" code.  Is the former explicitly preferred in Bitcoin sources?  (Which are not always consistent in style.)\n",https://github.com/bitcoin/bitcoin/pull/7977#discussion_r61671748,61671748,src/txmempool.h
MarcoFalke,2016-04-30T17:17:42Z,"It is not really important to get every white space ""correct"" but you can read about the general preferred code style over here: https://github.com/bitcoin/bitcoin/blob/master/doc/developer-notes.md#developer-notes\n",https://github.com/bitcoin/bitcoin/pull/7977#discussion_r61672237,61672237,src/txmempool.h
domob1812,2016-04-30T17:27:19Z,"Thanks for the heads-up, I've updated the patch now.  This is not explicitly mentioned in the doc, but the example code block uses the `uint256& hash` style.\n",https://github.com/bitcoin/bitcoin/pull/7977#discussion_r61672346,61672346,src/txmempool.h
MarcoFalke,2016-04-30T17:33:00Z,"If you don't want to do that manually, you can just do `$ git diff HEAD~ -U0|cfd`. Where `cfd` is an alias for  `./contrib/devtools/clang-format-diff.py -p1 -i -v`.\n",https://github.com/bitcoin/bitcoin/pull/7977#discussion_r61672408,61672408,src/txmempool.h
