jgarzik,2014-12-30T15:56:26Z,lightly tested ACK\n,https://github.com/bitcoin/bitcoin/pull/5542#issuecomment-68367940,68367940,
laanwj,2015-01-03T09:35:44Z,@theuni can you take a look here?\n,https://github.com/bitcoin/bitcoin/pull/5542#issuecomment-68588942,68588942,
theuni,2015-01-05T19:09:42Z,Looking into this.\n,https://github.com/bitcoin/bitcoin/pull/5542#issuecomment-68758785,68758785,
theuni,2015-01-05T20:34:18Z,"Concept ACK, but I think this approach is overly-complicated. Since the binaries know their own deps, there should be no need to explicitly tell the convenience libs to build or not build. The current problem is that `noinst_LIBRARIES` are always built, whether or not they're needed. Instead, let's just let Make decide if/when they bulld. `EXTRA_LIBRARIES` can be used for exactly that.\n\nThis sho",https://github.com/bitcoin/bitcoin/pull/5542#issuecomment-68775495,68775495,
luke-jr,2015-01-06T13:41:15Z,"Rewrote based on @theuni 's version (nice!), but also fixed configure to tolerate missing boost for lib-only builds, and check for openssl/ec.h (missing on Gentoo if OpenSSL is built with ""bindist"" USE flag).\n",https://github.com/bitcoin/bitcoin/pull/5542#issuecomment-68866028,68866028,
laanwj,2015-01-07T13:00:02Z,Looks good to me.\nTested ACK (for 0.10)\n,https://github.com/bitcoin/bitcoin/pull/5542#issuecomment-69018359,69018359,
luke-jr,2015-01-07T20:24:32Z,Added another bugfix and retested here (incl boost-less and ec-less systems). I think this is finally done.\n,https://github.com/bitcoin/bitcoin/pull/5542#issuecomment-69085854,69085854,
theuni,2015-01-07T21:11:26Z,Thanks for this! ut ACK if travis is happy.\n,https://github.com/bitcoin/bitcoin/pull/5542#issuecomment-69092721,69092721,
theuni,2015-01-07T03:05:53Z,BITCOIN_QT_CONFIGURE needs to be run before we know about bitcoin_enable_qt.\n,https://github.com/bitcoin/bitcoin/pull/5542#discussion_r22568992,22568992,configure.ac
luke-jr,2015-01-07T12:06:46Z,fixed\n,https://github.com/bitcoin/bitcoin/pull/5542#discussion_r22582899,22582899,configure.ac
