practicalswift,2020-08-03 15:48:01,Concept ACK: thanks for adding thread-safety annotations!,https://github.com/bitcoin/bitcoin/pull/19652#issuecomment-668097055,668097055,
DrahtBot,2020-08-03 18:55:06,"<!--e57a25ab6845829454e8d69fc972939a-->\n\nThe following sections might be updated with supplementary metadata relevant to reviewers and maintainers.\n\n<!--174a7506f384e20aa4161008e828411d-->\n### Conflicts\nReviewers, this pull request conflicts with the following ones:\n\n* #19806 (validation: UTXO snapshot activation by jamesob)\n\nIf you consider this pull request important, please also help ",https://github.com/bitcoin/bitcoin/pull/19652#issuecomment-668186718,668186718,
hebasto,2020-11-08 21:20:44,Rebased ef803c32d28d103b548fa5eb18b6faa17c7153cf -> dd427ddc4d3570aa0afbccb10869703366ea6cb1 ([pr19652.02](https://github.com/hebasto/bitcoin/commits/pr19652.02) -> [pr19652.03](https://github.com/hebasto/bitcoin/commits/pr19652.03)) due to the conflict with #19572.,https://github.com/bitcoin/bitcoin/pull/19652#issuecomment-723667569,723667569,
hebasto,2020-12-07 14:04:11,Rebased dd427ddc4d3570aa0afbccb10869703366ea6cb1 -> 09b1ef2262e72e708b71a3e70948f8a42ceb1030 ([pr19652.03](https://github.com/hebasto/bitcoin/commits/pr19652.03) -> [pr19652.04](https://github.com/hebasto/bitcoin/commits/pr19652.04)) due to the conflict with #18766.,https://github.com/bitcoin/bitcoin/pull/19652#issuecomment-739937921,739937921,
DrahtBot,2021-02-16 20:21:20,"<!--cf906140f33d8803c4a75a2196329ecb-->\n🐙 This pull request conflicts with the target branch and [needs rebase](https://github.com/bitcoin/bitcoin/blob/master/CONTRIBUTING.md#rebasing-changes).\n\n<sub>Want to unsubscribe from rebase notifications on this pull request? Just convert this pull request to a ""draft"".</sub>",https://github.com/bitcoin/bitcoin/pull/19652#issuecomment-780094590,780094590,
