practicalswift,2019-04-25 21:09:28,utACK fcc443b6367b44d5fdc04db36ec4a286d5b59162,https://github.com/bitcoin/bitcoin/pull/15896#issuecomment-486838991,486838991,
promag,2019-04-26 13:52:59,utACK fcc443b.,https://github.com/bitcoin/bitcoin/pull/15896#issuecomment-487064928,487064928,
hebasto,2019-04-26 17:20:18,It seems `interface_bitcoin_cli.py` is broken in AppVeyor now.,https://github.com/bitcoin/bitcoin/pull/15896#issuecomment-487134314,487134314,
Sjors,2019-04-26 18:08:07,"Normally ignoring AppVeyor failures isn't a huge issue, but this PR changed `test/config.ini.in`. ",https://github.com/bitcoin/bitcoin/pull/15896#issuecomment-487149761,487149761,
Sjors,2019-04-26 18:16:19,"Can this be replaced with an `assert_equal` test? That makes it easier to debug whether there's a problem with the testsuite or the binary in AppVeyor.\n(most likely the problem is with the test, since this PR only touched the test) ",https://github.com/bitcoin/bitcoin/pull/15896#discussion_r279054112,279054112,test/functional/interface_bitcoin_cli.py
Sjors,2019-04-26 18:23:55,"You probably need to add something here, though I'm not sure what:\nhttps://github.com/bitcoin/bitcoin/blob/master/.appveyor.yml#L41-L48",https://github.com/bitcoin/bitcoin/pull/15896#discussion_r279056715,279056715,test/config.ini.in
Sjors,2019-04-26 18:24:26,"Note that in other places `self` is left out, e.g. `'/src/bitcoind' + config[""environment""][""EXEEXT""]`",https://github.com/bitcoin/bitcoin/pull/15896#discussion_r279056858,279056858,test/functional/interface_bitcoin_cli.py
Sjors,2019-04-26 18:26:08,"Update, indeed, see #15903",https://github.com/bitcoin/bitcoin/pull/15896#discussion_r279057431,279057431,test/config.ini.in
MarcoFalke,2019-04-26 18:41:03,"assert_equal doesn't work because the version is suffixed by the commit\n\n```\n$ ./src/bitcoin-cli -version\nBitcoin Core RPC client version v0.18.99.0-b1e013e4fa\n",https://github.com/bitcoin/bitcoin/pull/15896#discussion_r279062353,279062353,test/functional/interface_bitcoin_cli.py
MarcoFalke,2019-04-26 18:42:18,"I guess you could strip the commit, but :man_shrugging:",https://github.com/bitcoin/bitcoin/pull/15896#discussion_r279062741,279062741,test/functional/interface_bitcoin_cli.py
