gmaxwell,2014-05-09T15:41:12Z,perhaps also move it to the test directory?\n,https://github.com/bitcoin/bitcoin/pull/4160#issuecomment-42680242,42680242,
laanwj,2014-05-09T15:49:27Z,See #4159\n,https://github.com/bitcoin/bitcoin/pull/4160#issuecomment-42681147,42681147,
sipa,2014-05-09T15:57:19Z,"@gmaxwell Done.\n\n@laanwj Dang, double work :)\n",https://github.com/bitcoin/bitcoin/pull/4160#issuecomment-42682075,42682075,
laanwj,2014-05-09T16:14:47Z,"Well you also slimmed bignum.h down, so let's go with this one.\n",https://github.com/bitcoin/bitcoin/pull/4160#issuecomment-42684023,42684023,
BitcoinPullTester,2014-05-09T17:25:48Z,"Automatic sanity-testing: PASSED, see http://jenkins.bluematt.me/pull-tester/7cd0af7cc222d0694ce72e71458aef460698ee2c for binaries and test log.\nThis test script verifies pulls every time they are updated. It, however, dies sometimes and fails to test properly.  If you are waiting on a test, please check timestamps to verify that the test.log is moving at http://jenkins.bluematt.me/pull-tester/cu",https://github.com/bitcoin/bitcoin/pull/4160#issuecomment-42691594,42691594,
sipa,2014-05-10T12:07:25Z,"Alternatively, we could replace the scriptnum tests by data-driven ones, and get rid of bignum.h entirely.\n",https://github.com/bitcoin/bitcoin/pull/4160#issuecomment-42740038,42740038,
laanwj,2014-05-10T13:31:34Z,"Having bignum in the tests directory is fine for now. At some point we could move to data-driven tests, but it seems low-priority as long as we need OpenSSL for other things.\n",https://github.com/bitcoin/bitcoin/pull/4160#issuecomment-42741778,42741778,
Diapolo,2014-05-10T13:01:28Z,Why is this needed here?\n,https://github.com/bitcoin/bitcoin/pull/4160#discussion_r12504056,12504056,src/protocol.h
sipa,2014-05-10T13:18:49Z,Because of CADDR_TIME_VERSION. It was indirectly included through bignum.h.\n,https://github.com/bitcoin/bitcoin/pull/4160#discussion_r12504139,12504139,src/protocol.h
