fanquake,2020-11-26 17:22:40,The GitHub-Pull & Rebased-From metadata should be included with each commit.,https://github.com/bitcoin/bitcoin/pull/20510#issuecomment-734414709,734414709,
jonatack,2020-11-26 18:18:41,"I just realized there's `bitcoin-maintainer-tools/backport.py`, will give it a try.",https://github.com/bitcoin/bitcoin/pull/20510#issuecomment-734433462,734433462,
jonatack,2020-11-26 18:35:10,"Thanks @fanquake, done.",https://github.com/bitcoin/bitcoin/pull/20510#issuecomment-734437869,734437869,
MarcoFalke,2020-11-26 19:57:40,"#20490 didn't need cherry-picks, so I opted to merge without rebase. Though when cherry-picks are needed, it is better to include where they were cherry-picked from.",https://github.com/bitcoin/bitcoin/pull/20510#issuecomment-734460093,734460093,
jonatack,2020-11-26 20:34:34,Thanks @MarcoFalke.,https://github.com/bitcoin/bitcoin/pull/20510#issuecomment-734470049,734470049,
