jonasschnelli,2016-04-05T07:23:23Z,utACK 4f688682ed1ac786326d69716086d402fd282aaf\n,https://github.com/bitcoin/bitcoin/pull/7792#issuecomment-205693740,205693740,
laanwj,2016-04-06T11:20:05Z,patch submitted upstream: https://bitbucket.org/al45tair/mac_alias/pull-requests/4/further-python-3-compatiblity/diff\n,https://github.com/bitcoin/bitcoin/pull/7792#issuecomment-206318611,206318611,
theuni,2016-04-06T14:38:58Z,"Ut ack. Thanks for upstreaming.\n\nside-note: how do depends fare on xenial (I'm assuming that's not what\nyou're running here)? Before the deps themselves learn to cope, I suppose\nit'll take a fair bit of patching. Or did we get lucky and this is all it\ntakes?\n",https://github.com/bitcoin/bitcoin/pull/7792#issuecomment-206406537,206406537,
laanwj,2016-04-08T11:48:42Z,"> how do depends fare on xenial (I'm assuming that's not what\n> you're running here)\n\nHaven't tried xenial depends or gitian builds yet, no.\n",https://github.com/bitcoin/bitcoin/pull/7792#issuecomment-207397267,207397267,
laanwj,2016-04-25T12:19:34Z,"Closing as this is included in #7920, which should go in this week anyhow.\n",https://github.com/bitcoin/bitcoin/pull/7792#issuecomment-214290904,214290904,
