laanwj,2020-11-21 14:00:05,Concept ACK,https://github.com/bitcoin/bitcoin/pull/20440#issuecomment-731583513,731583513,
DrahtBot,2020-11-21 15:01:06,"<!--e57a25ab6845829454e8d69fc972939a-->\n\nThe following sections might be updated with supplementary metadata relevant to reviewers and maintainers.\n\n<!--174a7506f384e20aa4161008e828411d-->\n### Conflicts\nReviewers, this pull request conflicts with the following ones:\n\n* #20447 (depends: Patch qt_intersect_spans to avoid non-deterministic behavior in LLVM 8 by achow101)\n* #19867 (build: doc",https://github.com/bitcoin/bitcoin/pull/20440#issuecomment-731590811,731590811,
DrahtBot,2020-11-22 07:33:26,"<!--cf906140f33d8803c4a75a2196329ecb-->\n🐙 This pull request conflicts with the target branch and [needs rebase](https://github.com/bitcoin/bitcoin/blob/master/CONTRIBUTING.md#rebasing-changes).\n\n<sub>Want to unsubscribe from rebase notifications on this pull request? Just convert this pull request to a ""draft"".</sub>",https://github.com/bitcoin/bitcoin/pull/20440#issuecomment-731710364,731710364,
