fanquake,2021-04-06 09:32:16,Should/can this include a backport for #21489?,https://github.com/bitcoin/bitcoin/pull/21614#issuecomment-813976996,813976996,
MarcoFalke,2021-04-06 09:40:19,Good idea. Done,https://github.com/bitcoin/bitcoin/pull/21614#issuecomment-813982191,813982191,
vasild,2021-04-16 07:37:20,"ACK 4546ac5af1c4105a0cf78a407fefcb189822bcf5\n\nI verified that the corresponding commits are same in `master` and in the backport (modulo mechanical diffs due to diverged code bases).",https://github.com/bitcoin/bitcoin/pull/21614#issuecomment-820982225,820982225,
MarcoFalke,2021-04-16 09:15:10,Moved milestone due to lack of interest,https://github.com/bitcoin/bitcoin/pull/21614#issuecomment-821040128,821040128,
jnewbery,2021-04-16 09:19:18,"ACK 4546ac5af1c4105a0cf78a407fefcb189822bcf5\n\nVerified cherrypick/rebase.",https://github.com/bitcoin/bitcoin/pull/21614#issuecomment-821042547,821042547,
MarcoFalke,2021-04-16 09:22:14,Rebased,https://github.com/bitcoin/bitcoin/pull/21614#issuecomment-821044244,821044244,
jnewbery,2021-04-16 09:28:11,"ACK b8af67eeefc9fc9622f839ec8919b7391d91bf6f\n\nVerified rebase.",https://github.com/bitcoin/bitcoin/pull/21614#issuecomment-821047658,821047658,
ajtowns,2021-04-16 09:50:48,"ACK b8af67eeefc9fc9622f839ec8919b7391d91bf6f ; visually compared individual commits to originals, checked original commits are in master",https://github.com/bitcoin/bitcoin/pull/21614#issuecomment-821060193,821060193,
ajtowns,2021-04-07 04:54:03,"This `} // namespace` line needs to be removed for the backport.\n\n(EDIT: the patch that's being backported moved it lower from earlier in the file, but the previous pr that was backported has moved that same line earlier in the file. git just sees the original line being deleted in both patches, and considers it redundant and fine to omit, rather than marking it as a conflict)",https://github.com/bitcoin/bitcoin/pull/21614#discussion_r608338714,608338714,src/test/fuzz/versionbits.cpp
MarcoFalke,2021-04-07 05:27:50,Correct. Fixed.,https://github.com/bitcoin/bitcoin/pull/21614#discussion_r608349392,608349392,src/test/fuzz/versionbits.cpp
