morcos,2016-12-20T22:37:30Z,"Concept ACK\n\n",https://github.com/bitcoin/bitcoin/pull/9391#issuecomment-268379583,268379583,
luke-jr,2016-12-20T22:49:03Z,ACK,https://github.com/bitcoin/bitcoin/pull/9391#issuecomment-268381889,268381889,
MarcoFalke,2016-12-22T11:29:18Z,"Closing for now.\n\nThis is meant for 0.15, which will land in fall 2017. No need to leave this open for months while merges are still happening for 0.14 on master.",https://github.com/bitcoin/bitcoin/pull/9391#issuecomment-268781265,268781265,
dcousens,2016-12-20T23:01:50Z,While understandably unused... this probably shouldn't be put under this commit,https://github.com/bitcoin/bitcoin/pull/9391#discussion_r93344166,93344166,src/wallet/wallet.cpp
MarcoFalke,2016-12-20T23:04:46Z,"Sure, I can squash all commits after we branch off 0.14 if you mean that.",https://github.com/bitcoin/bitcoin/pull/9391#discussion_r93344597,93344597,src/wallet/wallet.cpp
dcousens,2016-12-20T23:18:40Z,"@MarcoFalke I meant removing dead code in a commit titled as adding a warning is odd (unexpected).\nHow you rectify that, 2 commits, rebase, squash, whatever, I don't mind.",https://github.com/bitcoin/bitcoin/pull/9391#discussion_r93346324,93346324,src/wallet/wallet.cpp
MarcoFalke,2016-12-21T01:13:47Z,Squashed. Sorry for the confusion.,https://github.com/bitcoin/bitcoin/pull/9391#discussion_r93358521,93358521,src/wallet/wallet.cpp
