JeremyRubin,2017-09-05T23:38:42Z,"Seems reasonable, utAck.",https://github.com/bitcoin/bitcoin/pull/11238#issuecomment-327332928,327332928,
practicalswift,2017-09-06T08:41:43Z,"utACK modulo the autofile fix which is redundant.\n\nGenerally I think it is a good idea to add `assert(…)`:s where it helps static analyzers understand the code better. It makes implicit assumptions explicit which helps static analyzers and humans alike to understand and reason about the code.\n\nMy experience is that if a code path makes a static analyzer confused it is very likely to be con",https://github.com/bitcoin/bitcoin/pull/11238#issuecomment-327416647,327416647,
meshcollider,2017-09-06T12:26:25Z,"Removed redundant file close as requested, thanks for the reviews :)",https://github.com/bitcoin/bitcoin/pull/11238#issuecomment-327467312,327467312,
practicalswift,2017-09-06T12:29:42Z,utACK c0019924406e1ce8368465c768de11019ad5eeed,https://github.com/bitcoin/bitcoin/pull/11238#issuecomment-327468050,327468050,
promag,2017-09-06T13:03:27Z,utACK c001992.,https://github.com/bitcoin/bitcoin/pull/11238#issuecomment-327476343,327476343,
laanwj,2017-09-06T19:01:15Z,"Can you please change the title to `Add nullptr assertions` or such? The current title is incorrect, as adding assertions does not *fix* anything.",https://github.com/bitcoin/bitcoin/pull/11238#issuecomment-327582118,327582118,
laanwj,2017-09-06T21:50:55Z,utACK c00199244,https://github.com/bitcoin/bitcoin/pull/11238#issuecomment-327622216,327622216,
laanwj,2017-09-06T00:01:11Z,"This is an autofile - it closes automatically on release. So this is redundant.\nThe only reason for closing it explicitly below is because of the `RenameOver` after.",https://github.com/bitcoin/bitcoin/pull/11238#discussion_r137143840,137143840,src/addrdb.cpp
promag,2017-09-06T01:17:14Z,Maybe remove explicit close and move `fileout` to an inner scope?,https://github.com/bitcoin/bitcoin/pull/11238#discussion_r137152180,137152180,src/addrdb.cpp
