gavinandresen,2015-05-13T14:02:29Z,"I have no strong opinion, so ACK from me. This is trivial change of a default.\n",https://github.com/bitcoin/bitcoin/pull/6126#issuecomment-101673373,101673373,
laanwj,2015-05-13T14:05:00Z,"I like this default change (I've complained about the default of 1 being too expensive before, and if that becomes worse...), utACK\n",https://github.com/bitcoin/bitcoin/pull/6126#issuecomment-101674173,101674173,
laanwj,2015-05-15T09:58:12Z,Needs rebase.\n,https://github.com/bitcoin/bitcoin/pull/6126#issuecomment-102351542,102351542,
morcos,2015-05-15T11:52:02Z,rebased\n,https://github.com/bitcoin/bitcoin/pull/6126#issuecomment-102377198,102377198,
laanwj,2015-05-18T07:09:42Z,"Merged via 2457dc4 (26e08a1)\nPrepended a commit 77ed59d to introduce a constant first, then change that to 2 in your commit.\n",https://github.com/bitcoin/bitcoin/pull/6126#issuecomment-102943622,102943622,
laanwj,2015-05-15T15:20:06Z,"BTW, ideally we'd define a `DEFAULT_TX_CONFIRM_TARGET` constant analogous to `DEFAULT_TRANSACTION_FEE`, to avoid this value having to be kept synchronized across three places\n",https://github.com/bitcoin/bitcoin/pull/6126#discussion_r30417449,30417449,src/init.cpp
