TheBlueMatt,2017-03-30T15:39:36Z,utACK 3f1cbd38896cea8cea3095aad0a23254a39f651e,https://github.com/bitcoin/bitcoin/pull/10123#issuecomment-290450852,290450852,
JeremyRubin,2017-03-30T16:22:19Z,"utACK 3f1cbd3.\n\nMight be good to clean the category code up in another PR.",https://github.com/bitcoin/bitcoin/pull/10123#issuecomment-290463866,290463866,
jnewbery,2017-03-30T17:23:04Z,@JeremyRubin agree - this could be optimized so we don't do a `std::string.count()` every time `LogPrint()` is called. I think that's an improvement for a different PR. This doesn't make things particularly worse.,https://github.com/bitcoin/bitcoin/pull/10123#issuecomment-290481350,290481350,
jnewbery,2017-03-31T20:48:26Z,Closing until #9424 is merged.,https://github.com/bitcoin/bitcoin/pull/10123#issuecomment-290825913,290825913,
laanwj,2017-04-02T06:56:11Z,#9424 was merged,https://github.com/bitcoin/bitcoin/pull/10123#issuecomment-290968707,290968707,
jnewbery,2017-04-02T23:53:35Z,"Reimplemented on top of the new logging categories infrastructure from #9424. As expected, it's about 10 lines of code.\n\nRequesting review from @gmaxwell .",https://github.com/bitcoin/bitcoin/pull/10123#issuecomment-291024147,291024147,
laanwj,2017-04-03T10:29:12Z,utACK https://github.com/bitcoin/bitcoin/pull/10123/commits/39a70f26d9eb486762f553732e8ca5dbb754b72e apart from message nit.,https://github.com/bitcoin/bitcoin/pull/10123#issuecomment-291105638,291105638,
jnewbery,2017-04-03T13:05:22Z,@laanwj's nit fixed and squashed.,https://github.com/bitcoin/bitcoin/pull/10123#issuecomment-291136721,291136721,
laanwj,2017-04-03T10:23:13Z,"To not give the translators extra work, please try to use the same translation message as below. You could add a %s for the option.",https://github.com/bitcoin/bitcoin/pull/10123#discussion_r109383192,109383192,src/init.cpp
jnewbery,2017-04-03T13:05:11Z,Good point. Changed.,https://github.com/bitcoin/bitcoin/pull/10123#discussion_r109411150,109411150,src/init.cpp
