sipa,2015-08-03T17:44:15Z,ACK (tested as part of #6470).\n,https://github.com/bitcoin/bitcoin/pull/6498#issuecomment-127344928,127344928,
dcousens,2015-10-04T23:29:43Z,concept ACK\n,https://github.com/bitcoin/bitcoin/pull/6498#issuecomment-145401063,145401063,
dcousens,2015-10-04T23:28:01Z,"Pick `120,000` what?\n",https://github.com/bitcoin/bitcoin/pull/6498#discussion_r41104153,41104153,src/main.cpp
dcousens,2015-10-04T23:28:13Z,"Decreasing the false positive rate [for a valid transaction?] is fairly cheap, so we pick one in [a] million [1/1e6,  what is this unit?] to make it highly unlikely for users [legitimate transactions?] to have issues with this [passing this?] filter.\n\nCould this be clarified a little?\nI marked my assumptions/questions in [ ].\n\n**edit:** if I can get clarifications to the above to cement my ow",https://github.com/bitcoin/bitcoin/pull/6498#discussion_r41104171,41104171,src/main.cpp
