jonasschnelli,2017-08-21T07:11:15Z,"No sure if it's worth to touch this file with cosmetic changes.\nping @theuni ",https://github.com/bitcoin/bitcoin/pull/11101#issuecomment-323664288,323664288,
practicalswift,2017-08-21T09:51:49Z,@lemzwerg Could you split the changes into one commit each? It might be the case that you'll get ACK:s on some of the changes and NACK:s on some.,https://github.com/bitcoin/bitcoin/pull/11101#issuecomment-323699939,323699939,
practicalswift,2017-08-21T10:00:04Z,@lemzwerg Is there a linting tool that can find the issues you addressed in this PR?,https://github.com/bitcoin/bitcoin/pull/11101#issuecomment-323701919,323701919,
practicalswift,2017-08-21T11:55:27Z,@lemzwerg Could you investigate the OS X build failure? :-),https://github.com/bitcoin/bitcoin/pull/11101#issuecomment-323725112,323725112,
lemzwerg,2017-08-22T13:16:11Z,"@jonasschnelli, I can easily provide a complete formatted rewrite that avoids overlong lines, has a more vertical flow, and much more comments – I did this already in a private version, mainly to get completely accommodated to the file since I want to use it in one of my own projects.  Just tell me whether I shall submit such a change (on top of the real buglets).\n\n@practicalswift, I will prov",https://github.com/bitcoin/bitcoin/pull/11101#issuecomment-324022614,324022614,
practicalswift,2017-08-22T21:37:41Z,"Concept ACK! Nice cleanups and thanks for splitting up the changes into separate commits!\n\nAlso: Werner, a huge thank you is hereby sent to you for the FreeType project and your >20 years of working on it! ❤️",https://github.com/bitcoin/bitcoin/pull/11101#issuecomment-324159035,324159035,
lemzwerg,2017-08-23T04:31:46Z,Thanks :-)  ,https://github.com/bitcoin/bitcoin/pull/11101#issuecomment-324218170,324218170,
