sipa,2018-09-30T08:04:15Z,Please update the PR description.,https://github.com/bitcoin/bitcoin/pull/14354#issuecomment-425702902,425702902,
robust-cuttlefish,2018-09-30T08:13:29Z,"Sorry Pieter, I'm somewhat new to Github and I'm not sure exactly what you meant, but I tried to update the description. Not sure I did it right.",https://github.com/bitcoin/bitcoin/pull/14354#issuecomment-425703355,425703355,
robust-cuttlefish,2018-09-30T21:20:08Z,I regret wasting your and pieter's time. Looking now at ./src/wallet/wallet.cpp function CBlockIndex. I'll open a new PR when I find the correct way to do this.,https://github.com/bitcoin/bitcoin/pull/14354#issuecomment-425752976,425752976,
promag,2018-09-30T21:47:13Z,"@robust-cuttlefish no problem.\n\nIf you are calling `importmulti` then you know rescan is finished when you get the response.",https://github.com/bitcoin/bitcoin/pull/14354#issuecomment-425754711,425754711,
robust-cuttlefish,2018-09-30T21:50:12Z,awesome. that's perfect. many thanks.,https://github.com/bitcoin/bitcoin/pull/14354#issuecomment-425754919,425754919,
promag,2018-09-30T20:20:31Z,This is wrong. No rescan took place yet.,https://github.com/bitcoin/bitcoin/pull/14354#discussion_r221472058,221472058,src/wallet/rpcdump.cpp
robust-cuttlefish,2018-09-30T21:17:58Z,"sorry for wasting your time, I will look where it actually will finish a rescan. ./src/wallet/wallet.cpp, function CBlockIndex looks promising. I was tired.",https://github.com/bitcoin/bitcoin/pull/14354#discussion_r221473799,221473799,src/wallet/rpcdump.cpp
