BitcoinPullTester,2012-09-23T14:16:27Z,"Automatic sanity-testing: PASSED, see http://jenkins.bluematt.me/pull-tester/0eaaa83ba521af8453c11ad688bdbb6bd4e33870 for binaries and test log.\n",https://github.com/bitcoin/bitcoin/pull/1851#issuecomment-8798842,8798842,
laanwj,2012-09-23T15:04:17Z,ACK\n,https://github.com/bitcoin/bitcoin/pull/1851#issuecomment-8799239,8799239,
Diapolo,2012-09-24T18:01:52Z,ACK\n,https://github.com/bitcoin/bitcoin/pull/1851#issuecomment-8828196,8828196,
Diapolo,2012-09-28T10:01:16Z,"What I find strange is, that my tests in a Ubuntu VM with Gitian, bitcoin-qt showed used OpenSSL version as 0.9.8, is that true, that we use such an ""old"" version with the official Linux bins?\n",https://github.com/bitcoin/bitcoin/pull/1851#discussion_r1716033,1716033,doc/build-unix.txt
luke-jr,2012-09-28T10:27:48Z,"In any proper OS install, the OS is responsible for the version of OpenSSL used.\n",https://github.com/bitcoin/bitcoin/pull/1851#discussion_r1716192,1716192,doc/build-unix.txt
Diapolo,2012-09-28T12:33:04Z,"Im a Linux noob, sorry ... but your statement is false for the Windows binary, as we statically link to OpenSSL there ;).\n",https://github.com/bitcoin/bitcoin/pull/1851#discussion_r1716830,1716830,doc/build-unix.txt
luke-jr,2012-09-28T12:46:15Z,"Yes, I don't consider Windows to be a proper OS ;)\n",https://github.com/bitcoin/bitcoin/pull/1851#discussion_r1716907,1716907,doc/build-unix.txt
Diapolo,2012-09-28T12:47:47Z,"Fine, same is true for me thinking about Linux ;). End of OT then ^^.\n",https://github.com/bitcoin/bitcoin/pull/1851#discussion_r1716918,1716918,doc/build-unix.txt
