ajweiss,2015-06-03T17:27:44Z,"Ok, I've reworked the comments to make things far more explicit...\n",https://github.com/bitcoin/bitcoin/pull/6221#issuecomment-108535914,108535914,
laanwj,2015-06-04T07:00:53Z,Thanks for adding documentation. utACK.\n,https://github.com/bitcoin/bitcoin/pull/6221#issuecomment-108756379,108756379,
laanwj,2015-06-11T16:23:35Z,"Tested by @BitpopCoin  in #6184, confirmed to fix the issue\n",https://github.com/bitcoin/bitcoin/pull/6221#issuecomment-111192574,111192574,
laanwj,2015-06-11T16:28:25Z,Cherry-picked to 0.11 as 6cb70ca4ee353ed7e54a357c08ba41d13752731a \n,https://github.com/bitcoin/bitcoin/pull/6221#issuecomment-111193928,111193928,
laanwj,2015-06-03T09:26:59Z,"So the goal here is to remove all block files, unless they're contiguous and starting from 0? Maybe add a comment.\n",https://github.com/bitcoin/bitcoin/pull/6221#discussion_r31606648,31606648,src/init.cpp
