sipa,2015-11-17T00:28:32Z,Can you submit this to https://github.com/bitcoin/secp256k1 instead?\n,https://github.com/bitcoin/bitcoin/pull/7034#issuecomment-157219398,157219398,
ptschip,2015-11-17T00:33:07Z,"sure...\n\nOn 16/11/2015 4:29 PM, Pieter Wuille wrote:\n\n> Can you submit this to https://github.com/bitcoin/secp256k1 instead?\n> \n> —\n> Reply to this email directly or view it on GitHub\n> https://github.com/bitcoin/bitcoin/pull/7034#issuecomment-157219398.\n",https://github.com/bitcoin/bitcoin/pull/7034#issuecomment-157220128,157220128,
ptschip,2015-11-17T00:41:34Z,closing here and re-opening in bitcoin/secp256k1\n,https://github.com/bitcoin/bitcoin/pull/7034#issuecomment-157221437,157221437,
