ecc7c82361d98268d86b399dac76ca6d99bde889,2015-11-25T12:04:52Z,sipa,"src/coincontrol.h,src/wallet/wallet.cpp,src/wallet/wallet.h"
80462dda0a5ed1db22560380fef0f87df20253c1,2015-11-25T12:21:53Z,jonasschnelli,src/qt/coincontroldialog.cpp
31b508a18b6c7526d153659894f4418bfca99ee2,2015-11-25T12:38:44Z,jonasschnelli,src/qt/coincontroldialog.cpp
ff723da6f67d6d597c0118162fb709e962b1e2fe,2015-11-25T13:05:30Z,jonasschnelli,src/qt/sendcoinsdialog.cpp
