sipa,2015-12-12T18:13:20Z,Did anything substantially change to that file this year?\n,https://github.com/bitcoin/bitcoin/pull/7201#issuecomment-164173159,164173159,
MarcoFalke,2015-12-13T14:00:50Z,"No need to update every single file on it's own: #7205\n\nAnd `hmac_sha256.cpp` wasn't changed this year, so NACK.\n",https://github.com/bitcoin/bitcoin/pull/7201#issuecomment-164261688,164261688,
smatthewenglish,2015-12-13T15:13:22Z,"hmm, sorry about that. I don't have much experience contributing to open source projects, so I was just trying it out. \n",https://github.com/bitcoin/bitcoin/pull/7201#issuecomment-164267366,164267366,
MarcoFalke,2015-12-13T15:29:45Z,"No worries, you can read through https://github.com/bitcoin/bitcoin/blob/master/CONTRIBUTING.md to see how things work.\n",https://github.com/bitcoin/bitcoin/pull/7201#issuecomment-164268101,164268101,
MarcoFalke,2015-12-13T15:30:13Z,"Also, I think you can close this PR.\n",https://github.com/bitcoin/bitcoin/pull/7201#issuecomment-164268130,164268130,
smatthewenglish,2015-12-13T15:31:37Z,thank you. \n,https://github.com/bitcoin/bitcoin/pull/7201#issuecomment-164268187,164268187,
