practicalswift,2021-03-04 20:12:56,"Post-merge ACK fa59ad5130d732027d01b8aac04b88326b81ac5b\n\nThanks for fixing this!",https://github.com/bitcoin/bitcoin/pull/21358#issuecomment-790908390,790908390,
hebasto,2021-03-04 07:59:35,Which symbol does require this include?,https://github.com/bitcoin/bitcoin/pull/21358#discussion_r587238015,587238015,src/test/fuzz/torcontrol.cpp
MarcoFalke,2021-03-04 08:15:33,"Probably none in this file, but adding it in this commit will avoid a rebase in https://github.com/bitcoin/bitcoin/pull/21003#issuecomment-790405321",https://github.com/bitcoin/bitcoin/pull/21358#discussion_r587247056,587247056,src/test/fuzz/torcontrol.cpp
hebasto,2021-03-04 08:19:34,Does #21003 touch `src/test/fuzz/torcontrol.cpp` ?,https://github.com/bitcoin/bitcoin/pull/21358#discussion_r587249629,587249629,src/test/fuzz/torcontrol.cpp
MarcoFalke,2021-03-04 08:34:29,"No, but the `MakeNoLogFileContext` symbol is moved to a different file (via the indirect dependencies)",https://github.com/bitcoin/bitcoin/pull/21358#discussion_r587259433,587259433,src/test/fuzz/torcontrol.cpp
