jgarzik,2012-02-11T21:40:16Z,ACK\n,https://github.com/bitcoin/bitcoin/pull/823#issuecomment-3923728,3923728,
luke-jr,2012-02-17T14:53:46Z,"Does this break connecting to multiple nodes on different ports? eg, multiple local bitcoinds\n",https://github.com/bitcoin/bitcoin/pull/823#issuecomment-4021305,4021305,
sipa,2012-02-17T15:16:28Z,All nodes have a self-generated unique 64-bit identifier. This patch will prevent two connections to a partner with the same identifier.\n\nRunning two nodes on one system and connecting to both should not be a problem.\n,https://github.com/bitcoin/bitcoin/pull/823#issuecomment-4021715,4021715,
luke-jr,2012-02-20T19:31:05Z,"Per https://en.bitcoin.it/wiki/Protocol_specification#version the nonce is unique for every version message, so this would imply a protocol change making it static per client...\n",https://github.com/bitcoin/bitcoin/pull/823#issuecomment-4060156,4060156,
sipa,2012-02-21T00:43:56Z,Nice catch; that makes this problem somewhat harder to solve. Closing for now...\n,https://github.com/bitcoin/bitcoin/pull/823#issuecomment-4064891,4064891,
