practicalswift,2021-03-09 22:44:40,"Concept ACK\n\nWill verify instructions.",https://github.com/bitcoin/bitcoin/pull/21398#issuecomment-794559113,794559113,
MarcoFalke,2021-03-10 08:09:13,"To compile afl-clang-lto, on Ubuntu you need clang-11 (or higher):\n\n```\nsudo apt install build-essential python3-dev automake flex bison libglib2.0-dev libpixman-1-dev python3-setuptools clang lld llvm llvm-dev",https://github.com/bitcoin/bitcoin/pull/21398#issuecomment-795057855,795057855,
MarcoFalke,2021-03-13 10:06:33,The switch to afl++ is also being done by other major projects. E.g. https://github.com/google/oss-fuzz/pull/5046,https://github.com/bitcoin/bitcoin/pull/21398#issuecomment-798076885,798076885,
MarcoFalke,2021-03-15 09:20:53,@practicalswift Anything left to do here?,https://github.com/bitcoin/bitcoin/pull/21398#issuecomment-799257690,799257690,
DrahtBot,2021-03-15 16:48:56,<!--4a62be1de6b64f3ed646cdc7932c8cf5-->\n🕵️ @harding has been requested to review this pull request as specified in the REVIEWERS file.,https://github.com/bitcoin/bitcoin/pull/21398#issuecomment-799573768,799573768,
