jonasschnelli,2019-08-23 12:39:21,Screenshots would be great for this.,https://github.com/bitcoin/bitcoin/pull/16694#issuecomment-524299892,524299892,
fanquake,2019-08-23 12:46:45,"@jonasschnelli It'll be hard to convey the change in behavior using screenshots, given they are a movement in the GUI, but I can try and take a video. \n\nHowever testing the changes is trivial. Just add a few recipients, and give any of them an invalid address or amount. Scroll the invalid recipient out of view and hit Send. With this change, the GUI will scroll to show the invalid recipient, w",https://github.com/bitcoin/bitcoin/pull/16694#issuecomment-524301986,524301986,
jonatack,2019-08-23 12:53:09,"Hm, just tested the opposite. 5 recipients, then make first one have an invalid address or amount of 0, scroll down, click send, and the invalid one remained above and out of view e.g. no scrolling happened. \n\nLinux Debian, and not working for me. Maybe it will for someone else?",https://github.com/bitcoin/bitcoin/pull/16694#issuecomment-524303914,524303914,
fanquake,2019-08-23 12:55:41,Updated PR body with a link to a video showing the scrolling behavior.,https://github.com/bitcoin/bitcoin/pull/16694#issuecomment-524304710,524304710,
hebasto,2019-08-23 13:08:29,Concept ACK,https://github.com/bitcoin/bitcoin/pull/16694#issuecomment-524308742,524308742,
jonatack,2019-08-23 21:32:43,Tested ACK a4765bd77f9bc5c4d5c866ee6940807522741941 on Linux Debian with Qt 5.11.3. Change is that I had added an inadvertent typo in my make bash alias; fixed.,https://github.com/bitcoin/bitcoin/pull/16694#issuecomment-524469255,524469255,
hebasto,2019-08-23 14:14:55,"nit: formatting\n```suggestion\n            else if (valid) {\n```",https://github.com/bitcoin/bitcoin/pull/16694#discussion_r317152332,317152332,src/qt/sendcoinsdialog.cpp
fanquake,2019-08-24 00:52:25,"This matches the style of the surrounding code and has two ACKs, so I'm going to leave it as is.",https://github.com/bitcoin/bitcoin/pull/16694#discussion_r317337720,317337720,src/qt/sendcoinsdialog.cpp
