sipa,2014-11-17T14:46:26Z,utACK\n,https://github.com/bitcoin/bitcoin/pull/5272#issuecomment-63314392,63314392,
Diapolo,2014-11-26T08:27:13Z,Seems like uncontroversial pulls take some time again ;)?\n,https://github.com/bitcoin/bitcoin/pull/5272#issuecomment-64529368,64529368,
laanwj,2014-11-26T12:44:27Z,Uncontroversial but also low-priority and changes a translation message. Going to merge this after 0.10 split-off.\n,https://github.com/bitcoin/bitcoin/pull/5272#issuecomment-64598995,64598995,
Diapolo,2014-12-26T12:55:55Z,"@laanwj Ping, the 0.10 split-off happened :).\n",https://github.com/bitcoin/bitcoin/pull/5272#issuecomment-68140138,68140138,
Diapolo,2014-11-21T15:14:26Z,"@laanwj Sorry, I included it (translation string change) here.\n",https://github.com/bitcoin/bitcoin/pull/5272#discussion_r20719800,20719800,src/init.cpp
