paveljanik,2016-02-17T16:30:32Z,"Brilliant idea!\n\nACK https://github.com/laanwj/bitcoin/commit/c97198db769954c4ad2b57eaf7e5335578badc00\n\n``` shell\npavel$ echo -e ""getblockhash\n0"" | bitcoin-7550/src/bitcoin-cli -stdin\n000000000019d6689c085ae165831e934ff763ae46a2a6c172b3f1b60a8ce26f\npavel$ \n```\n",https://github.com/bitcoin/bitcoin/pull/7550#issuecomment-185284911,185284911,
jonasschnelli,2016-02-18T14:35:09Z,Nice!\nConcept ACK. Plans to test this soon.\n,https://github.com/bitcoin/bitcoin/pull/7550#issuecomment-185748003,185748003,
jonasschnelli,2016-02-19T15:18:50Z,"Tested ACK c97198db769954c4ad2b57eaf7e5335578badc00\n\nPost-merge actions: add to the docs/release notes, maybe add a little test script (though, not sure if we have a test entry point for bitcoin-cli at all).\n",https://github.com/bitcoin/bitcoin/pull/7550#issuecomment-186256521,186256521,
jonasschnelli,2016-02-24T09:15:28Z,Re-ACK 92bcca37ab0c52789b13ebee1f4659e30f05e2b6\n,https://github.com/bitcoin/bitcoin/pull/7550#issuecomment-188154266,188154266,
jonasschnelli,2016-02-19T15:16:53Z,"what about adding a magic work as ^D alternative? Something like ""end"" or ""quit""?\n",https://github.com/bitcoin/bitcoin/pull/7550#discussion_r53472450,53472450,src/bitcoin-cli.cpp
laanwj,2016-02-19T16:47:11Z,"I've thought about that. The problem is that anything could be a valid argument. I've chosen the line-per-argument, until EOL to avoid that kind of escaping issues.\nIt's easy for scripting but yes for a user interface it's not very friendly.\n\nhttps://github.com/bitcoin/bitcoin/compare/master...laanwj:2016_02_cli_stdin  is better in that regard, but what makes it an easier user interface is anno",https://github.com/bitcoin/bitcoin/pull/7550#discussion_r53485317,53485317,src/bitcoin-cli.cpp
jonasschnelli,2016-02-22T08:11:08Z,"Maybe adding a little ""`>>>`"" prompt and or giving a one-line-help-instruction when using `-stdin` (something like ""enter command, arguments and use Ctrl-D to quit/execute"")?\n\nAllow quitting over ""quit()"" and if ""exit"" or ""quit"" has been typed, show little help line?\nThough, a simple one-line-help-message would probably do the job.\n\nPython example:\n\n``` shell\n:~ jonasschnelli$ python\nPyth",https://github.com/bitcoin/bitcoin/pull/7550#discussion_r53595308,53595308,src/bitcoin-cli.cpp
laanwj,2016-02-24T08:51:33Z,"That would be awesome for an ""interactive mode"" (see #3122), but -stdin is explicitly not meant to be that, it's just to have a way to input data (say, from scripts) that isn't exposed on the command line. Printing more text will make it harder to parse the output.\n",https://github.com/bitcoin/bitcoin/pull/7550#discussion_r53909141,53909141,src/bitcoin-cli.cpp
jonasschnelli,2016-02-24T08:53:50Z,Agree. Was nitpick territory anyway (does not affect my tested ACK I already gave).\n,https://github.com/bitcoin/bitcoin/pull/7550#discussion_r53909347,53909347,src/bitcoin-cli.cpp
laanwj,2016-02-24T09:14:13Z,"Right, for now, I've added a EOF/Ctrl-D mention to the `-help` message at least.\n",https://github.com/bitcoin/bitcoin/pull/7550#discussion_r53911209,53911209,src/bitcoin-cli.cpp
