hebasto,2021-03-15 20:14:55,No speed up observed?,https://github.com/bitcoin/bitcoin/pull/21445#issuecomment-799720989,799720989,
laanwj,2021-03-16 06:59:29,"> No speed up observed?\n\nStrange.\n\nI wonder how much our tests are really bound by I/O speed. I guess it could matter for compilation times. But I wouldn't be surprised if it's mostly CPU bound.",https://github.com/bitcoin/bitcoin/pull/21445#issuecomment-800007224,800007224,
MarcoFalke,2021-03-16 07:55:56,"It seems this will result in a slow-down. E.g. https://cirrus-ci.com/task/6631575736549376?command=ci#L5821 vs https://cirrus-ci.com/task/5477946514210816?command=ci#L5513\n\nLooks like it is only using 0.3 CPU even though 2 have been requested?",https://github.com/bitcoin/bitcoin/pull/21445#issuecomment-800039758,800039758,
MarcoFalke,2021-03-16 07:56:23,Let's revisit this some other time,https://github.com/bitcoin/bitcoin/pull/21445#issuecomment-800040090,800040090,
MarcoFalke,2021-04-08 09:28:21,Testing ...,https://github.com/bitcoin/bitcoin/pull/21445#issuecomment-815607277,815607277,
MarcoFalke,2021-04-08 14:06:17,"Not sure what happened in the meantime, but there seems to be a speedup now. (Also the fuzz task is passing and no longer timing out)",https://github.com/bitcoin/bitcoin/pull/21445#issuecomment-815853987,815853987,
