laanwj,2016-12-14T09:29:32Z,"utACK https://github.com/bitcoin/bitcoin/pull/9308/commits/03ffa4cfff29d8273859edb030bc0eb823b26e7b, thanks for adding tests for this important system\n",https://github.com/bitcoin/bitcoin/pull/9308#issuecomment-266985899,266985899,
MarcoFalke,2016-12-14T11:09:51Z,Concept ACK 03ffa4cfff29d8273859edb030bc0eb823b26e7b,https://github.com/bitcoin/bitcoin/pull/9308#issuecomment-267007755,267007755,
morcos,2016-12-19T19:36:45Z,"ACK (left a couple of comments to slightly increase test coverage)\n",https://github.com/bitcoin/bitcoin/pull/9308#issuecomment-268057323,268057323,
paveljanik,2016-12-27T10:43:56Z,"@ryanofsky What about this warning?\n```\ntest/coins_tests.cpp:432:19: warning: unused variable 'DIRTY_FLAGS' [-Wunused-const-variable]\n```\n\nDo you plan to use it or can it be removed?\n",https://github.com/bitcoin/bitcoin/pull/9308#issuecomment-269309163,269309163,
ryanofsky,2016-12-27T12:42:03Z,"I do have some debug code using it, which I might make a PR from later, but its better to remove for now since it's causing this warning. Created to #9435 to remove.",https://github.com/bitcoin/bitcoin/pull/9308#issuecomment-269321047,269321047,
morcos,2016-12-19T18:06:30Z,Maybe loop over possibilities for base values,https://github.com/bitcoin/bitcoin/pull/9308#discussion_r93085954,93085954,src/test/coins_tests.cpp
morcos,2016-12-19T19:36:03Z,Maybe try a loop of these tests with Child Flags not DIRTY as well,https://github.com/bitcoin/bitcoin/pull/9308#discussion_r93103417,93103417,src/test/coins_tests.cpp
ryanofsky,2016-12-19T20:09:42Z,Added.,https://github.com/bitcoin/bitcoin/pull/9308#discussion_r93109618,93109618,src/test/coins_tests.cpp
ryanofsky,2016-12-19T20:09:49Z,Added.,https://github.com/bitcoin/bitcoin/pull/9308#discussion_r93109642,93109642,src/test/coins_tests.cpp
