sipa,2014-11-02T09:32:23Z,utACK\n,https://github.com/bitcoin/bitcoin/pull/5196#issuecomment-61399448,61399448,
Diapolo,2014-11-02T11:40:10Z,utACK\n,https://github.com/bitcoin/bitcoin/pull/5196#issuecomment-61403251,61403251,
laanwj,2014-11-03T08:18:00Z,"concept ACK, though there's a bit more to do -- see `git grep -L BITCOIN_ -- '*.h'` (but ignore external libraries such as leveldb, json and tinyformat):\n- src/compat/sanity.h (lol)\n- src/univalue/*.h\n- src/qt/*.h\n",https://github.com/bitcoin/bitcoin/pull/5196#issuecomment-61449257,61449257,
paveljanik,2014-11-03T08:43:12Z,"What define would you prefer instead of qt/addressbookpage.h:#define ADDRESSBOOKPAGE_H?\n\nI propose BITCOIN_QT_ADDRESSBOOKPAGE_H, ie. starting with BITCOIN_QT_...\n",https://github.com/bitcoin/bitcoin/pull/5196#issuecomment-61450996,61450996,
laanwj,2014-11-03T09:01:09Z,@paveljanik sounds good to me\n,https://github.com/bitcoin/bitcoin/pull/5196#issuecomment-61452325,61452325,
laanwj,2014-11-03T12:38:39Z,ACK after squash\n,https://github.com/bitcoin/bitcoin/pull/5196#issuecomment-61472006,61472006,
paveljanik,2014-11-03T15:29:25Z,Looks like I screwed something up. I redid all commits as one in clean header-defines2 branch. Sorry.\n,https://github.com/bitcoin/bitcoin/pull/5196#issuecomment-61494245,61494245,
paveljanik,2014-11-03T17:43:05Z,PR is now clean and can be used. Thanks Wladimir for helping me fixed the git mess.\n,https://github.com/bitcoin/bitcoin/pull/5196#issuecomment-61516816,61516816,
