jonatack,2021-08-30 10:54:06,Concept ACK if this fixes the appveyor CI that appears to have gone down today.￼,https://github.com/bitcoin/bitcoin/pull/22833#issuecomment-908243342,908243342,
hebasto,2021-08-30 11:04:16,"Hmm, on my personal AppVeyor account it passes: https://ci.appveyor.com/project/hebasto/bitcoin/builds/40571807",https://github.com/bitcoin/bitcoin/pull/22833#issuecomment-908249445,908249445,
hebasto,2021-08-30 11:06:37,@sipsorcery Could you look into the current Appveyor failure?,https://github.com/bitcoin/bitcoin/pull/22833#issuecomment-908251161,908251161,
hebasto,2021-08-30 12:02:30,"The current master branch passes on my personal AppVeyor account.\n\nTherefore, this PR does not make any sense.",https://github.com/bitcoin/bitcoin/pull/22833#issuecomment-908283295,908283295,
sipsorcery,2021-08-30 15:13:07,@hebasto looks fine? I'll double check `master` on my appveyor set up.,https://github.com/bitcoin/bitcoin/pull/22833#issuecomment-908427065,908427065,
hebasto,2021-08-30 15:15:09,"@sipsorcery \n> @hebasto looks fine? I'll double check `master` on my appveyor set up.\n\nIt looks like a hiccup on their side :)",https://github.com/bitcoin/bitcoin/pull/22833#issuecomment-908428802,908428802,
