sipa,2016-03-09T20:48:40Z,ACK\n,https://github.com/bitcoin/bitcoin/pull/7651#issuecomment-194500973,194500973,
laanwj,2016-03-11T07:28:59Z,What is the effect of this in practice?\n,https://github.com/bitcoin/bitcoin/pull/7651#issuecomment-195232505,195232505,
laanwj,2016-04-02T05:06:07Z,"I don't think the questions in the source issue (#4828) have been answered satisfactory:\n\n> Can you also add a comment to explain why the -1 is there to begin with?\n> \n> I used to understand why the -1 was there long ago, but I've lost the memory of why it was needed now... I'd have to relook at the code from years ago to work it out.\n\nIf no one understands this code, then changing it for ni",https://github.com/bitcoin/bitcoin/pull/7651#issuecomment-204647962,204647962,
