practicalswift,2017-06-01T18:07:40Z,"utACK 9eafbf2\n\nExcellent work! I ❤️ modern C++",https://github.com/bitcoin/bitcoin/pull/10502#issuecomment-305573817,305573817,
jtimon,2017-06-01T20:41:35Z,Added one small preparation commit since not all environments where passing travis.,https://github.com/bitcoin/bitcoin/pull/10502#issuecomment-305614099,305614099,
jtimon,2017-06-02T01:31:28Z,"Needed rebase after #10195. Just run the sed scripts again. Review should be as simple as it was, more or less.",https://github.com/bitcoin/bitcoin/pull/10502#issuecomment-305664766,305664766,
jtimon,2017-06-05T18:15:50Z,Needed rebase again(2),https://github.com/bitcoin/bitcoin/pull/10502#issuecomment-306262925,306262925,
sipa,2017-06-05T18:20:00Z,Concept ACK. Nit: you can add a commit that removes the `#include <boost/foreach.hpp>` directives.,https://github.com/bitcoin/bitcoin/pull/10502#issuecomment-306263943,306263943,
jtimon,2017-06-05T19:04:23Z,"> you can add a commit that removes the #include <boost/foreach.hpp> directives.\n\nBut not in the whole project yet, because I'm not able to remove BOOST_REVERSE_FOREACH yet, see #10193 on top of this one. I can remove it only on the files that I can for now.",https://github.com/bitcoin/bitcoin/pull/10502#issuecomment-306275178,306275178,
theuni,2017-06-13T20:01:18Z,"nice, utACK 1238f13cf6ccf1177b66df735f360c61ae1dc20b.",https://github.com/bitcoin/bitcoin/pull/10502#issuecomment-308231215,308231215,
sipa,2017-06-14T01:06:49Z,utACK 1238f13cf6ccf1177b66df735f360c61ae1dc20b,https://github.com/bitcoin/bitcoin/pull/10502#issuecomment-308290573,308290573,
