jgarzik,2015-07-03T11:56:03Z,seems reasonable\n,https://github.com/bitcoin/bitcoin/pull/6372#issuecomment-118328995,118328995,
laanwj,2015-07-03T12:26:36Z,"Python has excellent path manipulation utilities. Instead of making the path character configurable, why not use Python's `path.join`?\n",https://github.com/bitcoin/bitcoin/pull/6372#issuecomment-118334156,118334156,
jonasschnelli,2015-07-03T14:30:39Z,slightly tested ACK (not on windows).\nWould recommend to squash to purge out the reverts and the non-`path.join` way.\n,https://github.com/bitcoin/bitcoin/pull/6372#issuecomment-118363960,118363960,
laanwj,2015-07-10T12:49:40Z,ACK after squashing commits into one\n,https://github.com/bitcoin/bitcoin/pull/6372#issuecomment-120402150,120402150,
laanwj,2015-07-03T14:41:52Z,"I'm not sure making `inLen` an instance variable is the right solution to the problem.\nOnly one function outside `run()`, `writeBlock()`, uses `self.inLen`, which is never defined, but the on-disk size can be easily computed in the function itself with:\n\n```\ndef writeBlock(self, inhdr, blk_hdr, rawblock):\n    blockSizeOnDisk = len(inhdr) + len(blk_hdr) + len(rawblock)\n    if not self.fileOut",https://github.com/bitcoin/bitcoin/pull/6372#discussion_r33868252,33868252,contrib/linearize/linearize-data.py
