MarcoFalke,2021-08-06 07:05:18,wallet tests should to be prefixed with `wallet_` (see our docs on prefixes),https://github.com/bitcoin/bitcoin/pull/22641#discussion_r683997642,683997642,test/functional/test_runner.py
Shubhankar-Gambhir,2021-08-07 08:45:00,"Done, thanks for pointing out.",https://github.com/bitcoin/bitcoin/pull/22641#discussion_r684605933,684605933,test/functional/test_runner.py
ShubhamPalriwala,2021-08-10 04:15:01,Is there a reason for running the loop here on L32 and L36 from 0 to 5?,https://github.com/bitcoin/bitcoin/pull/22641#discussion_r685676839,685676839,test/functional/rpc_signmessagewithprivkey.py
laanwj,2021-08-10 09:40:02,"I don't think this argument makes any difference without wallet?\nEdit: yes, it works fine without this line",https://github.com/bitcoin/bitcoin/pull/22641#discussion_r685860209,685860209,test/functional/rpc_signmessagewithprivkey.py
vasild,2021-08-11 11:48:10,`s/signmessage(withprivkey) have/signmessagewithprivkey has/` because this test is now executing just one RPC - `signmessagewithprivkey`.,https://github.com/bitcoin/bitcoin/pull/22641#discussion_r686753218,686753218,test/functional/rpc_signmessagewithprivkey.py
vasild,2021-08-11 11:49:19,`s/signmessage(withprivkey) have/signmessage has/` because this test is now executing just one RPC - `signmessage`.,https://github.com/bitcoin/bitcoin/pull/22641#discussion_r686753929,686753929,test/functional/wallet_signmessagewithaddress.py
vasild,2021-08-11 11:55:28,"This and lines 46,47,48 below exercise `verifymessage` which does not require a wallet, I think they can be removed from this file (`wallet_signmessagewithaddress.py`) since they are also present in `rpc_signmessagewithprivkey.py`.",https://github.com/bitcoin/bitcoin/pull/22641#discussion_r686758025,686758025,test/functional/wallet_signmessagewithaddress.py
vasild,2021-08-11 12:13:36,It skips 2 (`signmessagewithprivkey` has two required parameters). I think the intention here is to ensure the RPC returns an error if called with the wrong number of parameters.,https://github.com/bitcoin/bitcoin/pull/22641#discussion_r686770403,686770403,test/functional/rpc_signmessagewithprivkey.py
ShubhamPalriwala,2021-08-12 08:04:43,Alright! Makes sense then,https://github.com/bitcoin/bitcoin/pull/22641#discussion_r687483048,687483048,test/functional/rpc_signmessagewithprivkey.py
