practicalswift,2020-08-16 16:29:33,"Concept ACK\n\n~~Please consider enabling `-Wtautological-constant-out-of-range-compare` too :)~~",https://github.com/bitcoin/bitcoin/pull/19735#issuecomment-674547612,674547612,
hebasto,2020-08-16 16:39:52,"> Please consider enabling `-Wtautological-constant-out-of-range-compare` too :)\n\nIsn't it enabled by default?\nhttps://clang.llvm.org/docs/DiagnosticsReference.html#wtautological-constant-out-of-range-compare",https://github.com/bitcoin/bitcoin/pull/19735#issuecomment-674548727,674548727,
theStack,2020-09-06 19:59:47,Code Review ACK 7c30e9f6f2f18057366383cb2b0a54d99731041c,https://github.com/bitcoin/bitcoin/pull/19735#issuecomment-687885727,687885727,
DrahtBot,2020-11-29 06:09:47,"<!--e57a25ab6845829454e8d69fc972939a-->\n\nThe following sections might be updated with supplementary metadata relevant to reviewers and maintainers.\n\n<!--174a7506f384e20aa4161008e828411d-->\n### Conflicts\nReviewers, this pull request conflicts with the following ones:\n\n* #21848 (refactor: Make CFeeRate constructor architecture-independent by MarcoFalke)\n\nIf you consider this pull request i",https://github.com/bitcoin/bitcoin/pull/19735#issuecomment-735349416,735349416,
hebasto,2021-05-07 11:51:21,"Updated 7c30e9f6f2f18057366383cb2b0a54d99731041c -> 3759a5b3be7a88f265a282388af603b27e458ec0 ([pr19735.01](https://github.com/hebasto/bitcoin/commits/pr19735.01) -> [pr19735.02](https://github.com/hebasto/bitcoin/commits/pr19735.02)):\n- rebased\n- addressed @MarcoFalke's [comment](https://github.com/bitcoin/bitcoin/pull/19735#discussion_r625671778) ",https://github.com/bitcoin/bitcoin/pull/19735#issuecomment-834304120,834304120,
DrahtBot,2021-05-24 09:40:10,"<!--cf906140f33d8803c4a75a2196329ecb-->\n🐙 This pull request conflicts with the target branch and [needs rebase](https://github.com/bitcoin/bitcoin/blob/master/CONTRIBUTING.md#rebasing-changes).\n\n<sub>Want to unsubscribe from rebase notifications on this pull request? Just convert this pull request to a ""draft"".</sub>",https://github.com/bitcoin/bitcoin/pull/19735#issuecomment-846919617,846919617,
hebasto,2021-05-24 10:31:59,The problem has been resolved in #21848 :tiger2: ,https://github.com/bitcoin/bitcoin/pull/19735#issuecomment-846949134,846949134,
MarcoFalke,2021-05-04 10:27:09,How is this `assert` save to remove for 64-bit?,https://github.com/bitcoin/bitcoin/pull/19735#discussion_r625671778,625671778,src/policy/feerate.cpp
hebasto,2021-05-07 11:52:08,"Oh, my bad!\n\nThanks! [Updated](https://github.com/bitcoin/bitcoin/pull/19735#issuecomment-834304120).",https://github.com/bitcoin/bitcoin/pull/19735#discussion_r628149529,628149529,src/policy/feerate.cpp
