theuni,2014-10-23T05:08:51Z,"this is move-only, btw. With the exception of a few obvious header changes and forward-declares.\n",https://github.com/bitcoin/bitcoin/pull/5119#issuecomment-60193385,60193385,
sipa,2014-10-24T17:24:39Z,Concept ACK; I didn't verify the move.\n,https://github.com/bitcoin/bitcoin/pull/5119#issuecomment-60420637,60420637,
laanwj,2014-10-27T10:42:16Z,"ACK, verified move-only apart from (necessary) #include, comment and pre-declared classes changes.\n",https://github.com/bitcoin/bitcoin/pull/5119#issuecomment-60574732,60574732,
sipa,2014-10-27T11:10:35Z,"ACK, verified that the code in streams.h is move-only.\n",https://github.com/bitcoin/bitcoin/pull/5119#issuecomment-60577537,60577537,
laanwj,2014-10-24T14:29:41Z,"Thanks for moving these to a separate include file. Indeed, they don't belong with serialize itself.\n",https://github.com/bitcoin/bitcoin/pull/5119#discussion_r19341484,19341484,src/streams.h
