gavinandresen,2013-01-31T02:14:00Z,ACK\n,https://github.com/bitcoin/bitcoin/pull/2250#issuecomment-12924236,12924236,
luke-jr,2013-01-31T04:04:50Z,ACK with exception for comments.\n,https://github.com/bitcoin/bitcoin/pull/2250#issuecomment-12926929,12926929,
colindean,2013-01-31T04:10:09Z,I pulled that block from bitcoin.org with the intention of keeping the text consistent.\n\n![](http://i.imgur.com/DmqNrRP.png)\n\nPerhaps both should be changed. Or should README.md lead the way?\n,https://github.com/bitcoin/bitcoin/pull/2250#issuecomment-12927041,12927041,
luke-jr,2013-01-31T04:14:04Z,"Probably both should be changed, but given that it's on bitcoin.org already, that's probably not a topic/discussion/blocker for this pullreq and should be fixed independently.\n\nACK\n",https://github.com/bitcoin/bitcoin/pull/2250#issuecomment-12927106,12927106,
luke-jr,2013-01-31T04:01:40Z,10 minutes to an hour isn't _quite_ instant.\n,https://github.com/bitcoin/bitcoin/pull/2250#discussion_r2838397,2838397,README.md
luke-jr,2013-01-31T04:02:33Z,"No, there are multiple clients. This particular one is called ""Satoshi"" (core codebase), ""bitcoind"", and ""Bitcoin-Qt"".\n",https://github.com/bitcoin/bitcoin/pull/2250#discussion_r2838402,2838402,README.md
