3cef0a96ab4173607831247972e6ee6bb5e274a2,2016-10-28T14:29:10Z,sipa,"src/script/interpreter.cpp,src/script/interpreter.h"
838a00eb5f4cf8c787e59e50268de7a9bec124e7,2016-10-29T04:11:49Z,jl2012,"qa/pull-tester/rpc-tests.py,qa/rpc-tests/sighashcache.py"
e79ab64425aa583724c0cbcd9ca5c3ada152b87a,2016-10-29T04:14:06Z,jl2012,qa/rpc-tests/test_framework/key.py
c70b8289795723051e267031cf9e67f6a5e9e500,2016-10-28T21:33:10Z,jl2012,qa/rpc-tests/sighashcache.py
