practicalswift,2021-07-24 19:44:19,"Concept ACK\n\nUnused code should be removed.",https://github.com/bitcoin/bitcoin/pull/22375#issuecomment-886102957,886102957,
DrahtBot,2021-07-27 16:25:56,"<!--e57a25ab6845829454e8d69fc972939a-->\n\nThe following sections might be updated with supplementary metadata relevant to reviewers and maintainers.\n\n<!--174a7506f384e20aa4161008e828411d-->\n### Conflicts\nReviewers, this pull request conflicts with the following ones:\n\n* #22570 by MarcoFalke\n\nIf you consider this pull request important, please also help to review the conflicting pull reque",https://github.com/bitcoin/bitcoin/pull/22375#issuecomment-887654964,887654964,
vasild,2021-07-28 07:37:20,"The `Unserialize()` method can be removed once we stop reading `banlist.dat`, in the next version, I guess... Actually, given that 22.0 is branched of and this change, after being merged to `master`, will only be released in 23.0, wouldn't it be easier to drop `Serialize()`, `Unserialize()` and `banlist.dat` reading support now?",https://github.com/bitcoin/bitcoin/pull/22375#issuecomment-888086626,888086626,
MarcoFalke,2021-07-28 17:29:44,Done in #22570 ,https://github.com/bitcoin/bitcoin/pull/22375#issuecomment-888488968,888488968,
laanwj,2021-08-01 14:25:14,"Concept ACK (as it doesn't get rid of a lot of code like this, I have a slight preference for removing the serialization and deserialization code at the same time, but no opposition to doing it like this either)",https://github.com/bitcoin/bitcoin/pull/22375#issuecomment-890530192,890530192,
MarcoFalke,2021-08-01 14:32:30,"Indeed.\n\nPlease review (ACK/NACK) #22570 first.",https://github.com/bitcoin/bitcoin/pull/22375#issuecomment-890531198,890531198,
DrahtBot,2021-08-02 11:31:59,"<!--cf906140f33d8803c4a75a2196329ecb-->\n🐙 This pull request conflicts with the target branch and [needs rebase](https://github.com/bitcoin/bitcoin/blob/master/CONTRIBUTING.md#rebasing-changes).\n\n<sub>Want to unsubscribe from rebase notifications on this pull request? Just convert this pull request to a ""draft"".</sub>",https://github.com/bitcoin/bitcoin/pull/22375#issuecomment-890952638,890952638,
vasild,2021-07-28 07:25:10,nit: why the extra `{}`?,https://github.com/bitcoin/bitcoin/pull/22375#discussion_r678043036,678043036,src/test/fuzz/deserialize.cpp
MarcoFalke,2021-07-28 07:53:39,to limit the scope of `version` and to put it in its own section. An alternative would be add a newline after ds.SetVersion and not care about the scope.,https://github.com/bitcoin/bitcoin/pull/22375#discussion_r678062779,678062779,src/test/fuzz/deserialize.cpp
